"","Weather Forecast for Main Cities","","","Date :","27-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","95","50","Several spells of showers"
"Batticaloa","29","24","95","80","Several spells of showers"
"Colombo","30","23","90","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","29","24","90","65","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","95","65","Several spells of showers"
"Kandy","30","19","95","45","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","21","11","75","25","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","21","95","50","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","31","24","95","65","Several spells of light showers"
"Mannar","31","25","95","65","Showers or thundershowers are likely after 2.00p.m"
