"","Udubaddawa","2024.10.13","17","50","","","","","1","","","",""
"කුරුණෑගල","","","","","","","","","","","","",""
"","Bingiriya","2024.10.12","13","43","","","","","","","","",""
"12
FUdhfy;","Flood","","","","","","","","","","","",""
"Kurunegala","Alawuwa","2024.10.11","1","2","","","","","1","","","",""
"","Pannala","2024.10.12","294","1018","","","","","6","","","1","2"
"","Paduwasnuwara West","2024.10.05","1","4","","","","","1","","","",""
"","දිස්ික් එ තුව/khtl;l $l;Lj;njhif/District Total","","385","1298","0","0","0","0","9","0","0","1","2"
"වයඹ පලොත","","","","","","","","","","","","",""
"tlNky;","Nattandiya","2024.10.10","1297","5846","","","","","","","","9","193"
"khfhzk;","Wennappuwa","2024.10.08","273","831","","","","","","","","",""
"North Western","","","","","","","","","","","","",""
"","Dankotuwa","","26","85","","","","","2","","","",""
"පුත්තලම","","2024.10.10","","","","","","","","","","",""
"Gj;jsk;   
13","Flood
Chilaw","","150","622","","","","","","","","",""
"Puttalam","","","","","","","","","","","","",""
"","Madampe","2024.10.09","127","435","","","","","1","","","",""
"","Mahawewa","2024.10.12","251","848","","","","","","","","",""
"","Arachchikattuwa","2024.10.13","237","692","","","","","1","","","",""
"","දිස්ික් එ තුව/khtl;l $l;Lj;njhif/District Total","","2361","9359","0","0","0","0","4","0","0","9","193"
