"","Beruwala","","23150","125750","","","","","","","","","",""
"","","2018.09.07
Salt water Intrusion","","","","","","","","","","","",""
"","","","17332","75017","","","","","","","","","",""
"","Kalutara","","","","","","","","","","","","",""
"","කළුතර","2018.09.28
Drowning","","","","","1","","","","","","",""
"Western/","20","","","","","","","","","","","","",""
"","fSj;Jiw 
Matugama","","940","3894","","","","","","","","","",""
"Nky;","","","","","","","","","","","","","",""
"","Kalutara
Panadura","","1662","5850","","","","","","","","","",""
"khfhzk;බ","","Salt water Intrusion  2018.09.07","","","","","","","","","","","",""
"","Dodangoda","","1105","3715","","","","","","","","","",""
"ස්නාහිර පලාත","","","","","","","","","","","","","",""
"","Horana","","185","820","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","44374","215046","0","0","1","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","44374","215046","0","0","1","0","0","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","311018","1119880","0","2","1","7","207","1","0","1","16","64"
"","","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
