"","Weather Forecast for Main Cities","","","","5-Nov-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","75","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","24","95","70","Showers or thundershowers are likely after 4.00p.m"
"Colombo","31","25","95","65","Showers or thundershowers"
"Galle","30","25","90","75","Showers or thundershowers"
"Jaffna","33","24","80","65","A few showers"
"Kandy","30","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","13","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","23","95","60","Showers or thundershowers"
"Trincomalee","32","24","95","70","Showers or thundershowers"
"Mannar","31","24","95","70","Showers or thundershowers after 2.00p.m"
