"","","Locations for Potential Risk"
"","නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ   fdjpahd mghaKs;s ,lq;fs;",""
"District","Level 1 (Yellow)","Level 2 (Amber)"
"","","* Akmeemana,"
"","* Yakkalamulla and",""
"","","* Galle Four Gravets and"
"","* Nagoda",""
"","","↑ Baddegama"
"Galle","D",""
"","ivisional Secretariat","D"
"","","ivisional Secretariat"
"","Division(s) (DSD) and",""
"","","Division(s) (DSD) and"
"","surrounding areas.",""
"","","surrounding areas."
"","","Palindanuwara,"
"","Mathugama,","Walallawita,"
"","Millaniya and","Dodangoda,"
"","Agalawatta","Ingiriya and"
"Kalutara","","Bulathsinhala"
"","ivisional Secretariat",""
"","Division(s) (DSD) and","ivisional Secretariat"
"","surrounding areas.","Division(s) (DSD) and"
"","","surrounding areas."
"","Mawanella,",""
"","Bulathkohupitiya,",""
"","Warakapola,",""
"","Ruwanwella,",""
"","Yatiyanthota,",""
"Kegalle","Deraniyagala and",""
"","Dehiowita",""
"","D
ivisional Secretariat",""
"","Division(s) (DSD) and",""
"","surrounding areas.",""
"","","Ambagamuwa"
