"","Weather Forecast for Main Cities","","","","30-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","27","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","95","75","Several spells of showers"
"Galle","29","26","95","75","Several spells of showers"
"Jaffna","32","24","85","75","A few showers"
"Kandy","30","23","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","14","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","32","23","95","75","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","25","90","55","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","27","90","80","Showers or thundershowers are likely after 2.00p.m"
