"","සබරගමුෙ පලොත","","1","රත්නපුර","","Imbulpe","","","190","708","","","","","","","","","","","වැලිගෙග ොල ප්‍රො.ගේ"
"","","","","","","","","","","","","","","","","","","","","","ලුෙහගවල ග්‍රොම"
"","","","",",uj;jpdGhp","","","Dry Weather 
Condition","2025.09.15","","","","","","","","","","","","","නිලධොරි වසම් ගෙකක"
"","","","","","","","","","","","","","","","","","","","","","වුේ 65ක් සඳහො"
"","rg;ufKt","","","Rathnapura","","Weligepola","","","545","1522","","","","","","","","","","","පානීය ජලය ලෙදා  දීම"
"","khfhzk","","","","","","","","","","","","","","","","","","","","සිදු කරනු ලබයි ."
"","Sabaragamuwa","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","","","735","2230","0","0","0","0","0","0","0","0","0","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","","","735","2230","0","0","0","0","0","0","0","0","0","0",""
