"","","","","","","","Water","Water","","","24 Hr RF"
"","Heda Oya","Siyambalanduwa","m","4.50","6.00","7.00","0.22","0.22","Normal","","0.0"
"(RB 36)","","","","","","","","","","",""
"Maduru Oya","","","","","","","","","","",""
"","Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.09","0.09","Normal","","0.0"
"(RB 54)","","","","","","","","","","",""
"","Mahaweli Ganga","Manampitiya","m","3.00","4.30","6.00","-0.02","-0.02","Normal","","0.0"
"","Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-2.71","-2.71","Normal","","0.0"
"Mahaweli","","","","","","","","","","",""
"","Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","1.78","2.10","Normal","","0.2"
"Ganga (RB 60)","","","","","","","","","","",""
"","Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","1.18","1.18","Normal","","1.5"
"","Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.25","0.26","Normal","","0.0"
"Yan Oya","","","","","","","","","","",""
"","Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.47","1.47","Normal","","0.0"
"(RB 67)","","","","","","","","","","",""
"Maa Oya (RB","","","","","","","","","","",""
"","Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.45","0.45","Normal","","0.0"
"69)","","","","","","","","","","",""
"Malwathu Oya","","","","","","","","","","",""
"","Malwathu Oya","Thanthirimale","m","5.00","6.80","7.80","0.63","0.63","Normal","","0.0"
"(RB 90)","","","","","","","","","","",""
"Mee Oya","","","","","","","","","","",""
"","Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.18","0.18","Normal","","0.0"
"(RB 95)","","","","","","","","","","",""
"Deduru Oya","","","","","","","","","","",""
"","Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","0.21","0.21","Normal","","0.0"
"(RB 99)","","","","","","","","","","",""
"","Maha Oya","Badalgama","m","5.00","6.20","9.60","1.83","1.83","Normal","","0.4"
"Maha Oya","","","","","","","","","","",""
"(RB 102)","","","","","","","","","","",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","0.80","0.80","Normal","","0.0"
"Attanagalu Oya","","","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","0.07","0.07","Normal","","0.0"
"(RB 103)","","","","","","","","","","",""
"Prepared by :","S.G.V.R.D.N.A. Gunasekara (H.A.)","","","","","","","","","",""
"Cheecked by :","","","","","","","","","","",""
