"","Weather Forecast for Main Cities","","","","2024-07-21"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","85","50","Mainly fair"
"Batticaloa","37","26","75","45","Mainly fair"
"Colombo","32","26","90","75","Mainly fair"
"Galle","31","26","90","75","A few showers"
"Jaffna","34","28","80","65","Mainly fair"
"Kandy","29","24","80","60","Mainly fair"
"Nuwara-Eliya","18","14","90","75","Mainly fair"
"Ratnapura","34","25","85","65","Several spells of light showers"
"Trincomalee","37","27","80","45","Mainly fair"
"Mannar","32","28","85","65","Mainly fair"
