"","Weather Forecast for Main Cities","","","Date :","19-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","22","90","70","Several spells of showers"
"Batticaloa","33","26","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","30","25","95","80","Showers or thundershowers at times"
"Galle","29","26","95","85","Showers or thundershowers at times"
"Jaffna","32","24","90","75","Showers or thundershowers at times"
"Kandy","28","22","95","80","Showers or thundershowers at times"
"Nuwara-Eliya","18","15","95","85","Showers or thundershowers at times"
"Ratnapura","32","24","95","85","Showers or thundershowers at times"
"Trincomalee","32","23","95","80","Showers or thundershowers after 2.00p.m"
"Mannar","31","24","95","75","Showers or thundershowers at times"
