"","Weather Forecast for Main Cities","","","Date :","24-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","55","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","95","70","Showers or thundershowers at times"
"Galle","30","26","90","75","Showers or thundershowers at times"
"Jaffna","35","27","90","65","Showers or thundershowers after 2.00p.m"
"Kandy","32","22","95","55","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","23","13","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","32","24","95","70","Showers or thundershowers at times"
"Trincomalee","35","25","95","65","Showers or thundershowers after 2.00p.m"
"Mannar","33","27","90","65","Showers or thundershowers are likely after 2.00p.m"
