"","","","","","","","","","","KOik","","sT 
ன","்  சேதங் கள்","fl;likg;Gf;fs;","","f   No.","",""
"","District","DS Division","","","Families","People","","","g","","","","","","","","s;","Persons"
"","","","","","","","","People","","Fully","","Partiall","","Damages to","","of Safety","",""
"","","","","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","","","People","","","","","","","","Families",""
"","","","","","","","","","","","","y","","critical","","Location","",""
"","","","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","","","Damages","Infrastructure","","s","",""
"","","Thumpane","","2019.11.03","1","4","","","","","","1","","","","","",""
"","","Ganga Ihala Korale","","2019.11.03","1","2","","","","","","1","","","","","",""
"","මහනුවර","","","","","","","","","","","","","","","","",""
"","1","","Heavy Rain","2019.11.03","1","2","","","","","","1","","","","","",""
"","fz;b","Pathahewaheta","","","","","","","","","","","","","","","",""
"මධ්‍යම පලොත","","","","","","","","","","","","","","","","","",""
"","Kandy","","","2019.11.04","1","6","","","","","","1","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","","",""
"","","Udapalatha","","2019.11.04","1","5","","","","","","1","","","","","",""
"Central","","","","","","","","","","","","","","","","","",""
"","","Udunuwara","","2019.11.04","1","1","","","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","6","20","0","0","0","","0","6","0","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","6","20","0","0","0","","0","6","0","","0","0","0","0"
"","","Ruwanwella","Tree Fallen","2019.11.02","1","6","","","","","","","","","","","",""
"","","","Heavy Rain","","2","8","","","","","","","","","","","",""
"","","","","2019.11.03","","","","","","","","","","","","","",""
"","","Dehiovita","Lightning","","1","3","","","","","","","","","","","",""
"","","","High Wind","2019.11.04","1","5","","","","","","1","","","","","",""
"","කෑෙල්ල","","Tree Fallen","2019.11.03","1","3","","","","","","1","","","","","",""
"","2
Nffhiy","","","","","","","","","","","","","","","","",""
"","","Kegalle","Rock Fallen","2019.11.02/04","2","5","","","","","","2","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","","",""
"","","","Cutting Failure","2019.11.02","1","6","","","","","","1","","","","","",""
"ස්ත්‍බරෙමුව පලොත","","","","","","","","","","","","","","","","","",""
"","","","Fire","2019.11.07","1","3","","","","","1","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","",""
"","","Rambukkana","High Wind","2019.11.04","1","1","","","","","","1","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","",""
"","","Bulathkohupitiya","Heavy Rain","2019.11.02","2","8","","","","","","2","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","13","48","0","0","0","","1","8","0","","0","0","0","0"
"","රත්නපුර","Godakawela","Rain / Win","2019.11.03","3","12","","","","","","3","","","","","",""
"","3
,uj;jpdGhp","Rathnapura","","2019.11.01","13","56","","","","","","13","","","","","",""
"","","","High Wind","","","","","","","","","","","","","","",""
"","Rathnapura","","","","","","","","","","","","","","","","",""
"","","Ehiliyagoda","","2019.11.01","13","44","","","","","","13","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","29","112","0","0","0","","0","29","0","","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","42","160","0","0","0","","1","37","0","","0","0","0","0"
"","","Wennappuwa","Flash Flood","2019.10.15","52","203","","","","","","1","1","","1","1","40","135"
"","පුත්තලම","","","","","","","","","","","","","","","","",""
"වයඹ පලොත","4","Pallama","Lighting","2019.11.02","1","1","","","","","","1","","","","","",""
"","Gj;jsk;","","","","","","","","","","","","","","","","",""
"tlNky;","Puttalam","","","","","","","","","","","","","","","","",""
"","","Mundalama","High Wind","2019.11.03","14","52","","","","","","14","","","","","",""
"khfhzk;  North","","","","","","","","","","","","","","","","","",""
"Western","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","67","256","0","0","0","","0","16","1","","1","1","40","135"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","67","256","0","0","0","","0","16","1","","1","1","40","135"
"","හම්බන්තොට","","","","","","","","","","","","","","","","",""
"","5
`k;ghe;Njhl;il","Ambalanthota","Electrocution","2019.11.06","1","7","1","","","","","","","","","","",""
"දකුනු පලොත","","","","","","","","","","","","","","","","","",""
"njd; khfhzk;","Hambantota","","","","","","","","","","","","","","","","",""
"Southern","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","1","7","1","0","0","","0","0","0","","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","1","7","1","0","0","","0","0","0","","0","0","0","0"
"","ත්‍රීකුණොමලය","","","","","","","","","","","","","","","","",""
"","6
jp.kiy","Muthur","High Wind","2019.11.01","1","4","","","","","","1","","","","","",""
"නැ්ෙනහිර පලොත","","","","","","","","","","","","","","","","","",""
"","Trincomalee","","","","","","","","","","","","","","","","",""
"fpof;F Eastern","","","","","","","","","","","","","","","","","",""
