"","","","Page 2","","","","","","","","","","",""
"වයඹ පලොත","","","","","","","","","","","","","",""
"tlNky;","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","Information is being"
"Nikaweratiya","","248","860","","","","","248","54","4","","","",""
"කුරු ෑගල/FUdh
North Western","2020.11.11","","","","","","","","","","","","","calculated"
"7
High wind
Kotawehera
fy;/ Kurunegala/","","2","6","","","","","2","","","","","",""
";/","","","","","","","","","","","","","",""
"Polgahawela","2020.11.12","1","2","","","","","1","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","251","868","0","0","0","0","251","54","4","0","0","0",""
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","259","898","0","0","0","0","255","57","4","0","0","0",""
"නපොනලොන රුව/n","","","","","","","","","","","","","",""
"8
Lankapura
High Wind
ghyd;dWit/Po
උතුරුමැද","2020.10.30","2","5","","","","","2","","","","","",""
"lonnaruwa
පලොත/tlkj;jpa","","","","","","","","","","","","","",""
"khfhzk;/ North","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","5","0","0","0","0","2","0","0","0","0","0",""
"Central/","","","","","","","","","","","","","",""
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2","5","0","0","0","0","2","0","0","0","0","0",""
"ත්‍රීකුණොමලය/jp.k
Kanthale","","1","4","","","","","1","","","","","",""
"9
High Wind
iy/","2020.11.10","","","","","","","","","","","","",""
"ැනග හිර 
Kuchchaveli
Trincomalee","","1","1","","","","","1","","","","","",""
"පලොත/fpof;F/East","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
ern/","","2","5","0","0","0","0","2","0","0","0","0","0",""
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2","5","0","0","0","0","2","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","312","1096","1","0","2","1","304","59","4","0","0","0",""
