"","","Imbulpe","Cutting Faliure","2019.10.13","4","15","","","","","4","","","","",""
"","","","Drawning","","1","5","1","","","","","","","","",""
"","","Pelmadulla","Landslide risk","2019.10.13","1","3","","","","","1","","","","",""
"","","","Rock Fallen","","1","4","","","","","1","","","","",""
"","","Kiriella","High Wind","2019.10.13","5","20","","","","","3","","","","",""
"","රත්නපුර","","Heavy Rain/wind/","","","","","","","","","","","","",""
"","","Balangoda","","2019.10.14","43","172","","","","","50","","","","",""
"","4
,uj;jpdGhp","","Cutting Failure","","","","","","","","","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","","","","","",""
"rg;ufKt","Rathnapura","","","","","","","","","","","","","","",""
"","","Ayagama","","2019.10.14","3","7","","","","","3","","","","",""
"Sabaragamuwa","","","Heavy Rain /","","","","","","","","","","","","",""
"","","Embilipitiya","","2019.10.14","3","7","","","","","3","","","","",""
"","","","Wind","","","","","","","","","","","","",""
"","","Kolonna","","2019.10.14","8","34","","","","1","7","","","","",""
"","","Godakawela","Heavy Rain","2019.10.14","5","14","","","","","5","","","","",""
"","","","Landslide","","3","12","","","","","3","","","","",""
"","","Kalawana","","2019.10.15","","","","","","","","","","","",""
"","","","Heavy Rain","","2","7","","","","","2","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","79","300","1","0","0","1","82","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","161","619","1","0","0","4","152","1","0","0","0","0"
"","","Badulla","","2019.10.05","1","6","","","","","1","","","","",""
"","","Meegahakiula","","2019.10.06","1","2","","","","","1","","","","",""
"","","","","2019.10.02","3","11","","","","","3","","","","",""
"","","Welimada","","2019.10.12","32","190","3","2","","1","","","","","",""
"","","","Heavy Rain","","","","","","","","","","","","",""
"","බදුල්ල","","","2019.10.13","3","9","","","","","3","","","","",""
"","5
gJs;is","","","","","","","","","","","","","","",""
"","","Passara","","2019.10.13","2","7","","","","","2","","","","",""
"ඌව","","","","","","","","","","","","","","","",""
"","Badulla","","","","","","","","","","","","","","",""
"Cth khfhzk","","Ella","","2019.10.13","4","14","","","","","4","","","","",""
"Uva","","Hali Ela","","2019.10.12","4","16","","","","","4","","","","",""
"","","Haputhale","High Wind","2019.10.12","3","12","","","","","3","","","","",""
"","","Kandakatiya","Chemical Incident","2019.10.18","","2","1","","","","","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","53","269","4","2","0","1","21","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","53","269","4","2","0","1","21","0","0","0","0","0"
"","","Polgahawela","","2019.10.12","16","48","","","","","13","","1","","",""
"","","Maspotha","High Wind","","5","19","","","","","5","","","","",""
"","","Panduwasnuwa West","","","33","102","","","","","25","8","3","","",""
"","","Mahawa","Lightning","","1","4","","","","","1","","","","",""
"","","Bamunakotuwa","","","4","25","","","","","2","","","","",""
"","කුරුණෑගල","Kobeigane","","","48","223","","","","3","62","18","3","","",""
"වයඹ පලාත","6
FUdhfy;","Galgamuwa","High Wind","","8","33","","","","","8","","","","",""
"tlNky; khfhzk;","","","","2019.10.13","","","","","","","","","","","",""
"","Kurunegala","","","","","","","","","","","","","","",""
"","","Alawwa","","","2","7","","","","","2","","","","",""
"North Western","","","","","","","","","","","","","","","",""
"","","Wariyapola","","","186","654","","4","","1","170","14","","","",""
"","","Ehetuwewa","Lightning","","1","4","","","","","1","","","","",""
"","","Narammala","High Wind","","1","4","","","","","1","","","","",""
"","","Pannala","High Wind","","1","1","","","","","1","","1","","",""
"","","Panduwasnuwara East","High Wind","","1","4","","","","","1","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","307","1128","0","4","0","4","292","40","8","0","0","0"
"","","Mundalama","","","210","792","","","","","","","","1","50","185"
"","","Wanathavilluwa","","","2","4","","","","","2","","","","",""
"","","Wennappuwa","","","145","496","","","","","","","","","",""
"","","Karuwalagaswewa","","","1","4","","","","","1","","","","",""
"","පුත්තලම","Naththandiya","Heavy","","45","176","","","","","2","","","1","7","19"
"","7
Gj;jsk;","","Rain/Lightning/Hi","2019.10.15","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","",""
"","Puttalam","Chilaw","gh wind/flood","","25","110","","2","","","25","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","","",""
"North Western","","Puttalam","","","210","652","","","","","","","","","",""
"","","Dankotuwa","","","9","31","","1","","","7","1","","","",""
"","","Mahawewa","","","74","281","","","","","","","","","",""
"","","Mahakumbukkadawala","","","52","161","","","","","","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","773","2707","0","3","0","0","37","1","0","2","57","204"
