"","Weather Forecast for Main Cities","","","","19-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","55","Mainly fair"
"Batticaloa","31","26","95","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","85","70","A few showers"
"Galle","29","26","85","80","Several spells of light showers"
"Jaffna","31","24","95","70","Several spells of showers"
"Kandy","29","20","95","65","Several spells of light showers"
"Nuwara-Eliya","20","14","85","70","Several spells of light showers"
"Ratnapura","32","22","95","60","Several spells of light showers"
"Trincomalee","34","24","85","50","Showers or thundershowers are likely after 2.00p.m"
"Mannar","30","27","85","75","Several spells of light showers"
