"Arachchikattuwa","Lightning","2022.11.05","2","8","","","","","2","","","","",""
"Mahawewa","Flash Flood","2022.11.04","100","345","","","","","","","","","",""
"පුත්තලම     Gj;jsk;","","","","","","","","","","","","","",""
"වයඹ පලාත 
14","","","","","","","","","","","","","",""
"Puttalam","","","","","","","","","","","","","",""
"Mundalama
tlNky;","Flood","2022.11.13","4","18","","","","","","","","1","4","18 Tharakkudivilluwa Community hall"
"khfhzk;","","","","","","","","","","","","","",""
"Nawagattegama","Lightning","2022.11.13","2","7","1","3","","","","","","","",""
"North Western","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","108","378","1","3","0","0","2","0","0","1","4","18"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","108","378","1","3","0","0","2","0","0","1","4","18"
"ලකාළඹ","","","","","","","","","","","","","",""
"15
Kaduwela","Lightning","2022.11.08","2","9","","","","","","","","","",""
"Western       
nfhOk;G Colombo","","","","","","","","","","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","9","0","0","0","0","0","0","0","0","0","0"
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","9","0","0","0","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","1038","3711","7","10","0","1","221","1","8","2","18","64"
"","","","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
