"","Weather Forecast for Main Cities","","","Date :","15-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","24","95","80","Showers at times"
"Batticaloa","28","24","95","80","Showers or thundershowers at times"
"Colombo","30","25","85","65","Several spells of showers"
"Galle","29","25","90","75","Showers at times"
"Jaffna","29","24","95","75","Showers at times"
"Kandy","28","21","95","70","Showers at times"
"Nuwara-Eliya","17","14","95","85","Showers at times"
"Ratnapura","29","23","90","65","Showers at times"
"Trincomalee","29","24","95","80","Showers or thundershowers at times"
"Mannar","29","25","95","75","Showers at times"
