"","වර්ෂොපතනය ( මි.මී )"
"සරවයංක්‍රිය වර්ෂොමොන මධ්‍යසරථොනය",""
"ඇහැලියවගාඩ","427.5"
"හල්වතුර වත්ත (ඉංගිරිය)","348.5"
"අකුරැස්ස","283.5"
"සාලාව","280.5"
"පාලින්දනුවර","276.0"
"වදරණගල","267.0"
