"","","","","","","","නිවාස්ත්‍ හානි","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","බලපෑමට ලක්වු","","","","Nrjkile;j","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","Administrative purview","","ghjpf;fg;gl;l    Affected","","","","tPLfs; Houses","Other Damages","","miktplk; Safe Location",""
"","","","","","තුවාලවු","අතුරුදහ","Damaged","","","",""
"","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","","",""
"","","mdu;j;jk;","","මිය යෑම්","","පුද්ගලයින්","","","","",""
"","","ආපදාව","","","","","","","","",""
"පළාත khfhzk;","","","","kuzq;f","fhakil","fhzhky;","","කුඩා හා මධය","","","ලවනත් කරුණු                 NtW"
"#","","Muk;gpj;j jpfjp  
mdHj;jk","","","","","","","","",""
"","","","","s;","e;NjhH","NghNdhH","","පරිමාණ වයාපාරික","ඉතා වැදගත් යටිතල","ආරක්ිත","Fwpg;Gf;fs; Remarks"
"Province","","","","","","","","","","",""
"","","Date of 
Disaster","","Deaths","","","","පහසුකම් වලට වූ 
ස්ත්‍
රථාන சிறிய,","","ස්ත්‍
රථාන  
පවුේ",""
"","","","","","","","පූර්ණ","","","",""
"","ප්‍රා.ලේ. ලකා","commenced","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","","Injured","Missing","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","දිස්ත්‍රික්කය","","","","","","හානි","","","",""
"","","","","","People","People","","நிறுவனங்களின்","","",""
"","gpuNjr nra.gp     DS","","FLk;gq;fs; 
egHfs;","","","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i
egHfs; 
FLk;gq;f",""
"","மாவட்டம் District","","","","","","KOik","","","",""
"","","","Families
People","","","","Partially","சேதங்கள்; Small, 
Damages to","","s; 
Persons
f   No.",""
"","Division","","","","","","Fully","","","",""
"","","","","","","","","Medium, 
critical","","Families
of Safety",""
"","","","","","","","","Enterprises 
Infrastructure","","Locations",""
"","","","","","","","","Damages","","",""
"","Kiriella","High Wind
2023.06.06","1
3","","","","1","","","",""
"","","High Wind
2023.06.05","1
2","","","","1","","","",""
"","Godakawela","","","","","","","","","",""
"","","High Wind
2023.06.06","1
4","","","","1","","","",""
"","","2023.06.06","2
8","","","","2","","","",""
"","","Cutting Failure
2023.06.06","1
4","","","","1","","","",""
"","රත්නපුර ,uj;jpdGhp","","","","","","","","","",""
"1","Rathnapura","Heavy Rain & Wind
2023.06.06","1
2","","","","1","","","",""
"","Rathnapura","","","","","","","","","",""
"","","Heavy Rain & Wind
2023.06.06","1
4","","","","1","","","",""
"","","Heavy Rain
2023.06.07","4
16","","","","4","","","",""
"","Nivithigala","Tree Fallen
2023.06.07","1
2","","","","1","","","",""
"සබරගමුව පලාත","Weligepola","Heavy Rain & Wind
2023.06.07","1
3","","","","1","","","",""
"rg;ufKt","Opanayaka","Tree Fallen
2023.06.07","2
8","","","","2","","","",""
"Sabaragamuwa","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","16
56","0","0","0","0
16","0","0","0
0","0"
"","","Lightning
2023.06.05","2
8","","","","2","","","",""
"","Deraniyagala","","","","","","","","","",""
"","","Cutting Failure
2023.06.05","4
15","","","","4","","","",""
"","කෑගල්ල","","","","","","","","","",""
"","Dehiovita","Tree Fallen
2023.06.07","1
1","","","","1","","","",""
"2","Nffhiy","","","","","","","","","",""
"","Yatiyanthota","Lightning
2023.06.04","4
12","","","","4","","","",""
"","Kegalle","","","","","","","","","",""
"","Kegalla","Tree Fallen
2023.06.07","1
4","","","","1","","","",""
"","Ruwanwella","Lightning
2023.06.07","1
4","","","","1","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","13
44","0","0","0","0
13","0","0","0
0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","29
100","0","0","0","0
29","0","0","0
0","0"
"","Palindanuwara","Land Slide/ High Wind 2023.06.05","11
49","","","","3","","","",""
"","Horana","2023.06.05","5
17","","","","5","","","",""
"","","Heavy Rain/ Flash","","","","","","","","",""
"","Bulathsinhala","2023.06.05","39
142","","","","4","35","","",""
"","","Flood","","","","","","","","",""
"","","Heavy Rain/ Flash","","","","","","","","",""
"","Mathugama","2023.06.05","72
255","","","","31","","","",""
"","","Flood/Lightning","","","","","","","","",""
"","කළුතර","","","","","","","","","",""
"","","Heavy Rain/ Flash","","","","","","","","",""
"3","fSj;Jiw","","","","","","","","","",""
"Western","Agalawatta","Flood/Lightning/ 
2023.06.05","33
162","","","","6","","","",""
"","Kalutara","","","","","","","","","",""
"Nky; khfhzk;","","Cutting failure","","","","","","","","",""
"බසරනාහිර පලාත","Millaniya","Lightning
2023.06.05","1
6","","","","1","","","",""
"","Beruwala","High Wind
2023.06.04","1
4","","","","1","","","",""
"","","Lightning/ Cutting","","","","","","","","",""
"","Dodangoda","2023.06.06","2
4","","","","2","","","",""
"","","failure","","","","","","","","",""
"","Madurawala","Heavy Rain/ Lightning
2023.06.06/07","4
11","","","","3","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","168
650","0","0","0","0
56","35","0","0
0","0"
