"","Weather Forecast for Main Cities","","","","25-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","50","Mainly fair"
"Batticaloa","31","25","95","75","Mainly fair"
"Colombo","34","26","85","60","Showers or thundershowers are likely after 4.00p.m"
"Galle","33","25","90","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","34","24","90","70","Mainly fair"
"Kandy","33","23","95","45","Showers or thundershowers are likely after 4.00p.m"
"Nuwara-Eliya","23","12","95","45","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","24","95","50","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","33","25","95","70","Mainly fair"
"Mannar","34","26","90","60","Mainly fair"
