"Badalkumbura","","","4","18","","","","","4","","","","",""
"","","2018.07.25","","","","","","","","","","","",""
"නමොනරාගල/nkhdwhf","","","","","","","","","","","","","",""
"14
Buththala","High Wind","","3","13","","","","","3","","","","",""
"ඌව/Cth 
iy Moneragala","","","","","","","","","","","","","",""
"khfhzk;/Uv
Monaragala","","2018.07.28","41","170","","","","5","36","","","","",""
"a","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","48","201","0","0","0","5","43","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","48","201","0","0","0","5","43","0","0","0","0","0"
"හම්බන්නතොට/`k;ghe;
Beliaththa","","","2","7","","","","","2","","","","",""
"දකුනු 
15
Njhl;il","High Wind","2018.07.25","","","","","","","","","","","",""
"පලාත/njd; 
Nihiluwa East
/Hambantota","","","1","4","","","","","1","","","","",""
"khfhzk;/","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","3","11","0","0","0","0","3","0","0","0","0","0"
"Southern/ ;","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","3","11","0","0","0","0","3","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","129286","436576","0","3","6","7","111","2","1","6","31","136"
