"","පේධ්‍තිගේ පුගරෝකථන මාර්ෙය සහ පේධ්‍තිගේ තීව්‍රතාවය","",""
"දිනය/ගේලාව)","ස
්ථානය","උපරිම සුළගේ ගේෙය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රී ලෙංකා පැය)","(උතුරු අක්්ාෙංශ oN","",""
"","නැගෙනහිර ගේශාෙංශ  oE)","",""
"","","180-190 විටින් විට 210 දක්වා","අතිශය චණ්ඩ සුළි කුණාටුවක්"
"14.05.23/1130","20.0/92.4","",""
"","","120-130 විටින් විට 145 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"14.05.23/1730","21.3/93.4","",""
"","","50-60 විටින් විට 70 දක්වා","ගැඹුරු පීඩන අවොතය"
"14.05.23/2330","23.0/94.7","",""
"","","40-50 විටින් විට 60 දක්වා","පීඩන අවොතය"
"15.05.23/0530","24.6/96.0","",""
"","","25-35 විටින් විට 45 දක්වා","අඩු පීඩන කලාෙය"
"15.05.23/1130","26.3/97.4","",""
