"","","","අකුණුගැසීම","","","","","","","Two persons deid due"
"","","Welikanda","","2018.05.21","3","10","2","","",""
"","","","kpd;dy;  Lightning","","","","","","","to lightning"
"","","","","","","","","","","207 - Manampitiya GN"
"","","","Drought","2018.06.01","30","120","","","",""
"","","","","","","","","","","Divition"
"උතුරුමැද","","","","","","","","","","240 - Kandegama GN"
"","මපොමලොන්නරුව","","","2018.05.25","1","5","","1","",""
"","","Dimbulagala","","","","","","","","Divition"
"පලාත/tlkj;","19
nghyd;dWit","","","","","","","","",""
"","","","","","","","","","","217 - Kalukele & 300 -"
"jpa","Polonnaruwa","","","","","","","","",""
"","","","","","2","5","","","2","Salasumgama GN"
"khfhzk;/","","","","","","","","","","Divition's"
"North","","","","2018.05.29","","","","","",""
"","","Higurakgopda","","","2","9","","","2",""
"Central/","","","","","","","","","",""
"","","Medirigiriya","","","4","14","","","4",""
"","","Thamankaduwa","","","2","7","","","2",""
