"","","","","","","People","","Families",""
"","","","","","","","Location
critical 
y","",""
"","","","","","","","Enterprises","",""
"","","","","","","","s
Infrastructure
Damages","",""
"","","Bandarawela","","","1","5","1","1","5 Yowun Senankaya"
"","","Haputhale","","","15","50","1","15","50 Dambethenna Tamil V"
"","","","","","","","","","1. kanawarella sarwodaya"
"","","Passara","","","5","18","1","5","18"
"","","","","","","","","","bulding"
"","","Welimada","","","62","225","1","62","225 Ambewela Malin Watta"
"","බදුල්ල","","","","","","","",""
"1","gJs;is","Haldummulle","Heavy Rain","2019.12.20","23","109","1","23","109 mahakanda"
"","Badulla","","","","","","","",""
"","","Haliela","","","16","40","1","16","40 01. moragolla Tamil School"
"","","Lunugala","","","5","11","1","5","11 Galulla Tamil Collage"
"","","","","","","","","","01. Hidagalawatta"
"","","Elle","","","13","50","2","13","Montisory                          
50"
"","","","","","","","","","02. Karandagolla Temple"
