"Galle","","","","","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","1","5","0","0","0","0","1"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","1","5","0","0","0","0","1"
"Pelmadulla","16","61","","1","","","16"
"Kuruvita","34","156","","","","","34"
"Nivithigala","4","14","","","","","4"
"Opanayake","1","5","","","","","1"
"High Wind / Heavy","","","","","","",""
"Rathnapura","2025.02.25
5","22","","","","","4"
"Rain","","","","","","",""
"Ayagama","1","5","","","","","1"
"රත්නපුර","","","","","","",""
"Elapatha","20","72","","","","","20"
"2
,uj;jpdGhp","","","","","","",""
"Eheliyagoda","8","29","","","","","8"
"Rathnapura","","","","","","",""
"Kiriella","75","297","","","","","75"
