"","Weather Forecast for Main Cities","","","","13-May-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","95","65","A few showers"
"Batticaloa","34","26","90","70","A few showers"
"Colombo","31","25","90","75","Showers or thundershowers at times"
"Galle","29","26","90","85","Showers or thundershowers at times"
"Jaffna","32","24","85","75","A few showers"
"Kandy","31","24","95","70","Showers or thundershowers at times"
"Nuwara-Eliya","22","14","95","75","Showers or thundershowers at times"
"Ratnapura","31","25","95","75","Showers or thundershowers at times"
"Trincomalee","34","26","90","70","A few showers"
"Mannar","32","28","85","75","A few showers"
