"","மாவட்டம்","gpuNjr nra.gp     DS","","","","egHfs;","","People","","","","","நிறுவனங் களின்","fl;likg;Gf;fs;","","vz;zpf;if","FLk;gq;f","egHfs;"
"","","","","","","","","","People","","","T","","","","","",""
"","","","","","FLk;gq;fs;","","","","","KOik","","","சேதங் கள்","","","","",""
"","District","Division","","","","People","","","","","","","","Damages to","","No. of","s;","Persons"
"","","","","","Families","","","","","Fully","","Partially","Small, Medium,","","","","",""
"","","","","","","","","","","","","","","","critical","Safety","Families",""
"","","","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","","","","Infrastructure","","Locations","",""
"","","","","","","","","","","","","","Damages","","","","",""
"","","Point pedro","","2021.01.11","73","276","","","","","","7","","","","","",""
"","","Chavakachcherei","","2021.01.12","64","210","","","","","","57","","1","","","",""
"","","","Flood","","","","","","","","","","","","","","",""
"","","","","2021.01.11/12","52","184","","","","","","7","","","","","",""
"","","Sandilipay","","","","","","","","","","","","","","","",""
"","","","","2021.01.15","1","1","","","","","","1","","","","","",""
"","","Uduvil","","","1","5","","","","","","1","","","","","",""
"","යොප ය","","Heavy Rain","2021.01.12","","","","","","","","","","","","","",""
"1","aho;g;ghzk;","Nallur","","","1","3","","","","","","1","","","","","",""
"","Jaffna","","","","","","","","","","","","","","","","",""
"","","Maruthankerny","","2021.01.12","190","435","","","","","","","","","","","",""
"","","","Flood","","","","","","","","","","","","","","",""
"","","Kopay","","2021.01.12","2","9","","","","","","2","","","","","",""
"","","Jaffna","Heavy rain","","1","3","","","","","","1","","","","","",""
"","","","","2021.01.12","","","","","","","","","","","","","",""
"","","Kareinagar","","","158","560","","","","","","","","","","1","14","41 J/48 Gramaniladhari Office"
"","","","Flood","","","","","","","","","","","","","","",""
"","","Kayts","","2021.01.13","16","60","","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","559","1746","0","0","0","","0","78","","1","0","1","14","41"
"උතුරු පලොත","","","","","","","","","","","","","","","","","",""
"","","Mannar Town","","","60","231","","","","","","","","","","","",""
"tl khfhzk","","","","","","","","","","","","","","","","","",""
"","මන් ොරම","","","","","","","","","","","","","","","","",""
"2
Northen","","Madhu","Flood","2021.01.11/12","90","285","","","","","","","","","","","",""
"","kd;dhH Mannar","","","","","","","","","","","","","","","","",""
"","","Manthai west","","","83","323","","","","","","","","","","1","8","30 Public building"
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","233","839","0","0","0","","0","0","","0","0","1","8","30"
"","","Karachchi","","","262","935","","","","","","13","","","2","","",""
"","කිලින ොච්චිය","Kandawalai","","","245","736","","","","","","1","","","","1","10","29 Murasumodai Comman Hall"
"3","fpspnehr;rp","","Flood","2021.01.11","","","","","","","","","","","","","",""
"","Killinochchi","Poonakary","","","88","263","","","","","","1","","","","","",""
"","","Pachchilaipalai","","","212","666","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","807","2600","0","0","0","","0","15","","0","2","1","10","29"
"","","Maritimepattu","","","18","19","","","","","","2","","","","","",""
"","මුලතිව්","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Kalampawewa Welfare"
"4","Ky;iyj;jPT","Welioya","Flood","2021.01.12","55","152","","","","","","","","1","","1","20","43"
"","","","","","","","","","","","","","","","","","","Centre"
"","Mulaitivu","","","","","","","","","","","","","","","","",""
"","","Puthukudiyiruppu","","","1","3","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","74","174","0","0","0","","0","2","","1","0","1","20","43"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","1673","5359","0","0","0","","0","95","","2","2","4","52","143"
