"මධ්‍යම","","","","","","","Page 2","","","","","","","","",""
"පලොත/kj;jpa","","","","","","","","","","","","","","","",""
"khfhzk;/ Central","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Konkodia GN Wetherset"
"","","Nuwara Eliya","Land slide Risk","2020.12.21","3","14","","","","","","","","1","3","14"
"","නුවරඑලිය","","","","","","","","","","","","","","","Hospitle"
"","6
Etnuypah","","","","","","","","","","","","","","",""
"","","","Heavy Rain","2021.01.10","6","16","","","","","6","","","","",""
"","Nuwara Eliya","Walapane","","","","","","","","","","","","","",""
"","","","Gas Leak","2021.01.10","1","3","","3","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","10","33","0","3","0","0","7","0","0","1","3","14"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","45","173","0","3","0","0","32","0","0","1","3","14"
"","","Wennappuwa","High Wind","2021.01.06","1","5","","","","","1","","","","",""
"","පුත්තලම","","","","","","","","","","","","","","",""
"","7
Gj;jsk;","Chillaw","Flood","2021.01.11","200","900","","","","","","","","","",""
"වයඹ පලොත","","","","","","","","","","","","","","","",""
"tlNky;","Puttalam","","","","","","","","","","","","","","",""
"","","Arachchikattuwa","Due to the high tide","2021.01.10","2","9","","","","","","","","","",""
"khfhzk;   North","","","","","","","","","","","","","","","",""
"Western","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","203","914","0","0","0","0","1","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","203","914","0","0","0","0","1","0","0","0","0","0"
"","","Seruwela","","","1","4","","","","","1","","","","",""
"","","Thambalagamam","","","1","4","","","","","1","","","","",""
"","ත්‍රීකුණොමලය","","","","4","22","","","","","4","","","","",""
"","","Kinniya","","2021.01.12-","","","","","","","","","","","",""
"","8
jp.kiy","","Flood","","","","","","","","","","","","",""
"","","","","2021.01.15","26","91","","","","","","","","","",""
"","Trincomalee","Kuchchaveli","","","","","","","","","","","","","",""
"","","Padavisripura","","","1","3","","","","","1","","","","",""
"","","Kanthale","","","","","","","","","","4","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","33","124","0","0","0","0","7","4","0","0","0","0"
"","","Koralaipatthu South","","","41","148","","","","","1","","","","",""
"","","Eravur Pattu","","","878","2670","","","","","1","","","","",""
"","","Eravur Town","","","924","3274","","","","","","","","","",""
"","","Manmunai West","","","4","15","","","","","","","","","",""
"","","Manmunai North","","","3557","11103","","","","","","","","","",""
"","මඩකලපුව","Kattankudy","","","2159","7428","","","","","1","","","","",""
"ැනෙ හිර පලොත","9
kl;lf;fsg;G","","Flood","2021.01.11","","","","","","","","","","","",""
"fpof;F     Eastern","Batticaloa","Manmunai Pattu","","","1766","5671","","","","","1","","","","",""
"","","Manmunai South West","","","75","227","","","","","1","","1","","",""
"","","Manmunai South & Ep","","","957","3053","","","","","1","","","","",""
"","","Porathivupatthu","","","162","482","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","10523","34071","0","0","0","0","7","0","1","0","0","0"
"","","Ampara","","2021.01.13","2","9","","","","","2","","","","",""
"","","Mahaoya","","2021.01.14","2","5","","","","","2","","","","",""
"","අම්පොර mk;ghiw","","","","","","","","","","","","","","",""
"","","Karaitheevu","Heavy rain","2021.01.04","28","89","","","","","","","","","",""
"","Ampara","","","","","","","","","","","","","","",""
"","","Addalachchnai","","2021.01.03","2339","7401","","","","","","","","","",""
"","","Ninthavur","","2021.01.15","330","1310","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2701","8814","0","0","0","0","4","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","13257","43009","0","0","0","0","18","4","1","0","0","0"
"","","","Fire","","1","4","","","","","1","","","","",""
"","","","","2021.01.02","","","","","","","","","","","",""
