"","","","","","","Page 3","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","","2020.10.12","7","24","","","","","6","","","","",""
"","","High Wind","","","","","","","","","","","","",""
"","Warakapola","","2020.10.14","7","25","","","","","7","","","","",""
"","","Tree Fallen","2020.10.14","2","9","","","","","2","","","","",""
"","","","2020.10.11.12","2","9","","","","","2","","","","",""
"","Mawanella","Tree Fallen","","","","","","","","","","","","",""
"","","","2020.10.14","9","27","","","","","9","","","","",""
"","","Lightning","2020.10.11","1","4","","","","","","","","","",""
"","Dehiowita","","","","","","","","","","","","","",""
"","","Tree Fallen","2020.10.11","5","19","","","","","","","","","",""
"","","Tree Fallen","2020.10.10.11","2","8","","","","","","","","","",""
"","Ruwanwella","High Wind","2020.10.11","1","2","","","","","","","","","",""
"","","Heavy Rain","2020.10.11","1","2","","","","","","1","","","",""
"කෑගල්ල","","High Wind","2020.10.14","4","23","","","","","","","","","",""
"8
Nffhiy","","","","","","","","","","","","","","",""
"","Deraniyagala","High Wind","2020.10.11","1","4","","","","","1","","","","",""
"Kegalle","","","","","","","","","","","","","","",""
"","","","2020.09.30-","","","","","","","","","","","",""
"","","Tree Fallen","","2","5","","","","","1","","","","",""
"","","","10.01","","","","","","","","","","","",""
"","Galigamuwa","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","One Person died due to Tree"
"","","High Wind","2020.10.14","14","52","1","","","","11","","","","",""
"","","","","","","","","","","","","","","","Fallen"
"","","","2020.10.08-","","","","","","","","","","","",""
"","Aranayaka","Tree Fallen","","10","35","","","","","3","","","","",""
"","","","10.11.13","","","","","","","","","","","",""
"","","","2020.09.25-","","","","","","","","","","","",""
"","","","","11","51","","","","","11","","","","",""
"ස්ත්‍බරගමුව පලොත","","","10.11","","","","","","","","","","","",""
"","Yatiyanthota","","","","","","","","","","","","","",""
"rg;ufKt","","High Wind","2020.10.14","4","20","","","","","4","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","","","2020.10.12","2","11","","","","","2","","","","",""
"","Bulathkohupitiya","","","8","31","","","","","7","","","","",""
"","","","2020.10.14","","","","","","","","","","","",""
"","","Landslide Risk","","1","3","","","","","","","","","",""
"","Kegalle","","2020.10.14","13","42","","","","","10","","","","",""
"","","Tree Fallen","","","","","","","","","","","","",""
"","Aranayaka","","2020.10.15","1","2","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","108","408","1","0","0","0","77","1","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","108","408","1","0","0","0","77","1","0","0","0","0"
"","Balangoda","Rock Fallen Risk","2020.10.12","15","65","","","","","","","","2","13","56 Pettigala Tamil School"
"","Kahawatta","","2020.10.11/12","4","18","","","","","4","","","","",""
"","Nivithigala","","2020.10.12","6","23","","","","","5","","","","",""
"රත්නපුර","Kalawana","","2020.10.11","2","7","","","","","2","","","","",""
"9
,uj;jpdGhp","Godakawela","","2020.10.12/13","5","14","","","","","4","","","","",""
"Rathnapura","Pelmadulle","","2020.10.13","3","12","","","","","3","","","","",""
"","","Hlgh Wind","","","","","","","","","","","","",""
"","Imbulpe","","2020.10.14","9","34","2","1","","","5","","","","",""
"","Eheliyagoda","","2020.10.13","5","14","","","","","4","","","","",""
"","Kuruvita","","2020.10.14","6","18","","","","","6","","","","",""
"","Weligepola","","2020.10.14","1","3","","","","","1","","","","",""
"","Elapatha","","2020.10.15","9","29","","","","","8","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","65","237","2","1","0","0","42","0","0","2","13","56"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","65","237","2","1","0","0","42","0","0","2","13","56"
"","Pallama","","2020.10.13","1","4","","","","","1","","","","",""
"","Chilaw","","2020.10.14","1","3","","","","","1","","","","",""
"පුත්තල","Mahakumbukkadawala","","2020.10.14","1","3","","","","","1","","","","",""
"10
Gj;jsk;","","High Wind","","","","","","","","","","","","",""
"වයඹ පලොත","","","","","","","","","","","","","","",""
"Puttalam","Dankotuwa","","2020.10.14","1","4","","","","","1","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","",""
"North Western","Anamaduwa","","2020.10.14","4","16","","","","","3","","","","",""
"","Karuwalagaswewa","","2020.10.15","3","10","","","","","3","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","11","40","0","0","0","0","10","0","0","0","0","0"
