"","","","","Page 4","","","","","","","","",""
"Biyagama","","28","113","","","","1","27","1","","","",""
"Nigambo","","3","11","","","","","3","","","","",""
"","2020.10.14","","","","","","","","","","","",""
"Minuwangoda","","8","33","","","","","8","","","","",""
"Kelaniya","","13","49","","","","","13","","","","",""
"Mahara","","105","377","","","","1","101","2","","","",""
"ගම්පහ        
High Wind","2020.10.13","","","","","","","","","","","",""
"11
fk;g`h 
Attanagalla","","3","14","","","","","3","","","","",""
"Western","","","","","","","","","","","","",""
"Gampaha","","","","","","","","","","","","",""
"Nky; khfhzk;  
Katana","","6","17","","","","","6","","","","",""
"බස්ත්‍රනොහිර පලොත","","","","","","","","","","","","",""
"Wattala","","32","130","","","","","32","","","","",""
"Divulapitiya","2020.10.14","2","5","","","","","2","","","","",""
"Meerigame","","6","29","","","","","6","","","","",""
"Dompe
Tree Fallen","","9","36","","","","","10","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","215","814","0","0","0","2","211","3","0","0","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","215","814","0","0","0","2","211","3","0","0","0","0"
"Thamankaduwa","","3","9","","","","","2","1","","","",""
"Medirigiriya","","4","16","","","","","4","","","","",""
"මපොමලොනනරුව","","","","","","","","","","","","",""
"12
High Wind
උතුරු ැද පලොත  
nghyd;dWit  
Dimbulagala","2020.10.112/13","8","24","","","","","6","2","","","",""
"tlkj;jpa 
Polonnaruwa","","","","","","","","","","","","",""
"Hingurakgoda","","3","7","","","","","2","1","","","",""
"khfhzk;","","","","","","","","","","","","",""
"Welikanda
North Central","","3","13","","","","","3","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","21","69","0","0","0","0","17","4","0","0","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","21","69","0","0","0","0","17","4","0","0","0","0"
"යොපනය","","","","","","","","","","","","",""
"13
Jaffna
Fire
aho;g;ghzk;","2020.10.15","1","5","","","","","","","","","",""
"Jaffna","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","5","0","0","0","0","0","0","0","0","0","0"
"උතුරු පලොත","","","","","","","","","","","","",""
"","2020.10.14","1","4","","","","","1","","","","",""
"මුලතිව්  
tl khfhzk; 
WeliOya","","","","","","","","","","","","",""
"14
High Wind
Ky;iyj;jPT 
Northen","","1","3","","","","","1","","","","",""
"","2020.10.15","","","","","","","","","","","",""
"Mulaitivu","","","","","","","","","","","","",""
"Puthukkudiyiruppu","","1","5","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","3","12","0","0","0","0","3","0","0","0","0","0"
