"Western/","","","","","","","","","","","","","","",""
"Nky;","","","","","","","","","","","","","","",""
"khfhzk","","","","","","","","","","","","","","","4"
"/බස්නාහිර","","","","","","","","","","","","","","",""
"පලාත","","","","","","","","","","","","","","",""
"","Moratuwa","","","1","","","","1","","","","","","",""
"","Maharagama","","","","","","","6","3","","","","","",""
"","kolonnawa","","","","","","","5","","","","","","",""
"","Seethawaka
ගකොළඹ","","","","","","","1","","","","","","",""
"","heavy Rain and","","","","","","","","","","","","","",""
"","14
nfhOk;G 
Kasbawa","2018.10.06","","","","","","24","","","","","","",""
"","flood","","","","","","","","","","","","","",""
"","Colombo
Rathmalana","","","","","","","","","","","","","",""
"","Kaduwela","","","","","","","28","","","","","","",""
"","Homagama","","","","","","","177","","","","","","",""
"","Padukka","","","","","","","11","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","0","0","1","0","0","0","253","3","0","0","0","0","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","5361","20856","7","5","0","26","502","819","211","1","12","48","",""
"උතුරුමැද","","","","","","","","","","","","","","",""
"","අනුරාධ්‍පුර","","","","","","","","","","","","","",""
"පලාත/tlkj;","","","","","","","","","","","","","","",""
"","m.Guk 
15
Nachchaduwa
Flood","2018.10.07
25","94","","","","","","","","","","","",""
"jpa","","","","","","","","","","","","","","",""
"","Anuradhapura","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","25","94","0","0","0","0","0","0","0","0","0","0","",""
"North","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","25","94","0","0","0","0","0","0","0","0","0","0","",""
"Central/","","","","","","","","","","","","","","",""
"","මන්නාරම/kd;dhH/","","","","","","","","","","","","","",""
"උතුරු","16
Flood
Madu","2018.10.07
56","184","","","","","","","","1","56","184 Safe Location -","",""
"","Mannar","","","","","","","","","","","","","Divisional Secatariat",""
"පලාත/tl","","","","","","","","","","","","","","",""
"khfhzk;/","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","56","184","0","0","0","0","0","0","0","1","56","184","",""
"Northen/","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","56","184","0","0","0","0","0","0","0","1","56","184","",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","10920","42126","13","18","0","55","2416","1320","222","7","118","404","",""
