"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு Administrative","","","බලපෑමට ලක්වු ghjpf;fg;gl;l","","","","","","","නිවාස්ත්‍ හානි Nrjkile;j tPLfs;","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd miktplk; Safe",""
"purview","","","Affected","","","","","","","Houses Damaged","Other Damages","","Location",""
"","","ආරම්භක දිනය","","","","තුවාලවු","","අතුරුදහන්වූ","","","","","",""
"","","mdu;j;jk; Muk;gpj;j","","මිය යෑම්","","පුද්ගලයින්","","පුද්ගලයින්","","","කුඩා හා මධය","","",""
"පළාත khfhzk;","ආපදාව               mdHj;jk","","","","","","","","","","","","",""
"#","","","","kuzq;fs;","","fhakile;NjhH","","fhzhky;NghNd","","","ඉතා වැදගත් 
පරිමාණ වයාපාරික","","","ලවනත් කරුණු                 NtW Fwpg;Gf;fs; Remarks"
"Province","Disaster","jpfjp   Date of","","Deaths","","Injured","","hH Missing","","","යටිතල පහසුකම් 
ස්ත්‍
රථාන சிறிய,","","",""
"","","","","","","","","","","","","","ආරක්ිත ස්ත්‍රථාන",""
"ප්‍රා.ලේ. ලකා","","commenced","","","","People","","People","","","நடுத்தர, 
වලට වූ හානි","","",""
"","","","පවුේ ස්ත්‍ංඛ්‍යාව","","","","","","","අර්ධ හානි","","","ස්ත්‍ංඛ්‍යාව 
පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්",""
"දිස්ත්‍රික්කය  மாவட்டம்","","","පුද්ගලයින්","","","","","","","පූර්ණ හානි","நிறுவனங்களின் 
mbg;gilf;","","",""
"gpuNjr nra.gp     DS","","","FLk;gq;fs;","","","","","","","gFjpasT","சேதங்கள்;","","vz;zpf;if   
FLk;gq;fs; 
egHfs;",""
"District","","","egHfs; People","","","","","","","KOik Fully","","fl;likg;Gf;fs;","",""
"","","","Families","","","","","","","Partially","","","No. of Safety 
Families
Persons",""
"Division","","","","","","","","","","","Small, 
Damages to","","",""
"","","","","","","","","","","","Medium,","","Locations",""
"","","","","","","","","","","","critical","","",""
"","","","","","","","","","","","Enterprises 
Infrastructure","","",""
"","","","","","","","","","","","Damages","","",""
"","Highwind & Cutting failure","2022.11.01","1
5","","","","","","","1","","","",""
"Kuruwita","","","","","","","","","","","","","",""
"","Heavy Rain","2022.11.14","1
3","","","","","","","1","","","",""
"","High Wind","","2
5","","","","","","","1","","","",""
"","","2022.11.01","","","","","","","","","","","",""
"","Fire","","1
2","","","","","","","1","","","",""
"Godakawela","","","","","","","","","","","","","",""
"","Cutting Faliure","2022.11.09","1
4","","","","","","","1","","","",""
"","Heavy Rain","2022.11.14","1
3","","","","","","","1","","","",""
"","Lightning","2022.11.01","1
5","","","","","","","1","","","",""
"Kiriella","","","","","","","","","","","","","",""
"","Lightning","2022.11.14","1
4","","","","","","","1","","","",""
"","Heavy Rain/High wind","2022.11.01","2
5","","","","","","","2","","","",""
"Opanayaka","","","","","","","","","","","","","",""
"","Fire","2022.11.01","1
1","","","","","","","1","","","",""
"රත්නපුර","","","","","","","","","","","","","",""
"","Flood","","2
2","","","","2","","","","","","",""
"1
,uj;jpdGhp","","","","","","","","","","","","","",""
"Rathnapura","Landslide","2022.11.09","4
17","","","","","","","4","","","",""
"Kolonna","Lightning","","1
2","","","","","","","1","","","",""
"","Land Slide","2022.11.10","1
3","","","","","","","1","","","",""
"","Land Slide/Cutting Faliure","2022.11.12/14","3
14","","","","","","","3","","","",""
"Balangoda","Heavy Rain/High wind","2022.11.01","1
3","","","","","","","1","","","",""
"","Heavy Rain","2022.11.10","1
4","","","","","","","1","","","",""
"kahawatta","","","","","","","","","","","","","",""
"","High Wind","2022.11.14","1
5","","","","","","","1","","","",""
"Rathnapura","Lightning/Cutting Failure","2022.11.12/14","3
13","","","","","","","3","","","",""
"Kalthota","Heavy Rain","2022.11.14","1
1","","","","","","","1","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","30
101","","0","","2","","0","0
27","0","0","0
0","0"
