"Reservoir Status (reservoirs which are spilling at present)",""
"District","Reservoir Name"
"Anuradhapura","Nuwara Wewa"
"Anuradhapura","Nachchaduwa"
"Anuradhapura","Manankattiya"
"Anuradhapura","Yan Oya"
"Badulla","Kande Ela"
"Badulla","Sorabora"
"Batticaloa","Unnichchai"
"Batticaloa","Rugam"
"Hambantota","Tissawewa"
"Hambantota","Lunugamwehera"
"Hambantota","Badagiriya"
"Hambantota","Yodawewa"
"Kurunegala","Usgala Siyabalangamuwa"
"Kurunegala","Ambakolawewa"
"Matale","Nalanda"
"Matale","Dewahuwa"
"Matara","Ellewela"
"Monaragala","Ethimale"
"Puttalam","Tabbowa"
"Puttalam","Inginimitiya"
"Trincomalee","Wan Ela"
"Trincomalee","Mahadivul Wewa"
