"","Weather Forecast for Main Cities","","","Date :","24-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","55","A few showers"
"Batticaloa","34","26","85","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","95","70","Showers at times"
"Galle","30","25","95","75","Showers at times"
"Jaffna","31","27","85","75","A few showers"
"Kandy","28","22","95","70","Showers at times"
"Nuwara-Eliya","18","14","95","85","Showers at times"
"Ratnapura","33","24","95","75","Showers at times"
"Trincomalee","34","27","85","45","Mainly fair"
"Mannar","30","27","85","70","A few showers"
