"","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","Damages","","","",""
"Kiriella","15","39","","","","","3","","","","",""
"Godakawela","2","8","","","","","2","","","","",""
"Eheliyagoda","288","1109","","","","","8","","","","",""
"Pelmadulla","9","29","","","","","8","","","","",""
"Rathnapura","139","537","","","","","7","","","2","10","43"
"Heavy 
Elapatha","88","278","","","","","3","","","","",""
"රත්නපුර","","","","","","","","","","","",""
"rain/Lightning/High 
Nivithigala","2022.05.30 / 31     
1","3","","","","","1","","","","",""
"1
,uj;jpdGhp","","","","","","","","","","","",""
"Wind/Cutting Failure","-  2022.06.01","","","","","","","","","","",""
"Kuruvita
Rathnapura","111","447","","","","","27","","","","",""
"/Land Slide Risk","","","","","","","","","","","",""
"Kalwana","121","416","1","","","","16","","","","",""
"Ayagama","5","18","","","","","","","","","",""
"Balangoda","1","5","","","","","1","","","","",""
"Imbulpe","1","1","","","","","1","","","","",""
"Embilipitiya","2","8","","","","","2","","","","",""
"Opanayake","2","7","","","","","2","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","785","2905","1","0","0","0","81","0","0","2","10","43"
"rg;ufKt","","","","","","","","","","","",""
"Warakapola","2022.05.31
1","3","","","","","1","","","","",""
"Sabaragamuwa
High Wind","","","","","","","","","","","",""
