"","Weather Forecast for Main Cities","","","","16-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","34","26","90","65","Showers or thundershowers after 2.00p.m"
"Colombo","32","25","95","70","Showers or thundershowers after 2.00p.m"
"Galle","31","25","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","32","23","95","80","Showers or thundershowers are likely after 2.00p.m"
"Kandy","31","23","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","23","14","95","65","Showers or thundershowers after 2.00p.m"
"Ratnapura","35","24","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","25","95","60","Showers or thundershowers after 2.00p.m"
"Mannar","33","26","90","65","Showers or thundershowers after 2.00p.m"
