"","Weather Forecast for Main Cities","","","Date :","2024-09-08"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","55","Mainly fair"
"Batticaloa","36","26","90","50","Mainly fair"
"Colombo","31","26","85","70","Several spells of showers"
"Galle","30","28","85","80","Several spells of showers"
"Jaffna","32","28","90","70","Mainly fair"
"Kandy","29","22","95","70","Several spells of light showers"
"Nuwara-Eliya","18","16","95","80","Several spells of light showers"
"Ratnapura","31","23","95","70","Several spells of showers"
"Trincomalee","35","26","80","45","Mainly fair"
"Mannar","30","27","90","70","Mainly fair"
