"","","","","","","Page 3","","","","","","","","",""
"","Wanathawilluwa","Flash Flood","2019.10.21","24","91","","","","","24","","","","",""
"","Wennappuwa","Flash Flood","2019.10.15","322","1190","","","","","1","1","","1","40","135"
"","Anamaduwa","Rain / Lightning","2019.10.21","9","43","","","","","9","","","","",""
"පුත්තලම","","","","","","","","","","","","","","",""
"","Kalpitiya","Flash Flood","2019.10.24","100","386","","","","","","","","","",""
"6
Gj;jsk;","","","","","","","","","","","","","","",""
"","Madampe","Flash Flood","2019.10.24","4","19","","","","","4","","","","",""
"Puttalam","","","","","","","","","","","","","","",""
"","","Rain Fall","2019.10.24","3","4","","","","","3","","","","",""
"","Pallama","","","","","","","","","","","","","",""
"","","Lighting","2019.11.02","1","1","","","","","1","","","","",""
"","Mundalama","High Wind","2019.11.03","14","52","","","","","14","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","477","1786","0","0","0","0","56","1","0","1","40","135"
"","Bingiriya","Heavy Rain","2019.10.26","6","23","","","","","2","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","",""
"","Wdubeddawa","Flood","2019.10.25","32","102","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","",""
"","Weerambugedara","High Wind","2019.10.24","1","4","","","","","1","","","","",""
"North Western","","","","","","","","","","","","","","",""
"","Kuliyapitiya east","Heavy Rain","2019.10.24","3","14","","","","","3","","","","",""
"කුරුණෑගල","Ibbagamuwa","Lightning","2019.10.23","2","8","","","","","2","","","","",""
"7
FUdhfy;","Mahawe","High Wind","2019.10.23","2","8","","","","","2","","1","","",""
"Kurunegala","Naranmale","Lightning","2019.10.24","3","10","","","","","3","","","","",""
"","Kurunegala","Rock Fallen","2019.10.22","2","6","","","","","2","1","","","",""
"","Mallawapitiya","Heavy Rain","2019.10.25","1","2","","","","1","","","","","",""
"","Polgahawela","High Wind","2019.10.30","1","3","","","","","1","","","","",""
"","Panduwasnuwara","High Wind","2019.10.30","1","3","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","54","183","0","0","0","1","17","1","1","0","0","0"
