"","Weather Forecast for Main Cities","","","","21-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","23","95","80","Several spells of showers"
"Batticaloa","32","26","95","75","Several spells of showers"
"Colombo","28","24","95","85","Showers or thundershowers at times"
"Galle","29","24","95","85","Showers at times"
"Jaffna","32","24","95","80","Showers at times"
"Kandy","27","22","95","80","Showers or thundershowers at times"
"Nuwara-Eliya","19","15","95","85","Showers or thundershowers at times"
"Ratnapura","30","23","95","80","Showers or thundershowers at times"
"Trincomalee","32","25","95","70","Several spells of showers"
"Mannar","29","25","95","75","Showers or thundershowers at times"
