"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","27","90","55","Mainly fair"
"Batticaloa","35","27","85","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","90","75","Several spells of showers"
"Galle","30","26","90","80","Several spells of showers"
"Jaffna","32","28","90","75","Mainly fair"
"Kandy","30","23","95","70","Several spells of light showers"
"Nuwara-Eliya","21","16","90","60","Several spells of light showers"
"Ratnapura","33","25","95","75","Several spells of showers"
"Trincomalee","35","27","85","60","Mainly fair"
"Mannar","32","28","85","75","Mainly fair"
