"","Weather Forecast for Main Cities","","","","14-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","30","22","95","60","Mainly fair"
"Batticaloa","29","23","85","70","Mainly fair"
"Colombo","32","23","85","60","Mainly fair"
"Galle","30","24","95","75","Mainly fair"
"Jaffna","30","24","95","70","Mainly fair"
"Kandy","29","19","95","65","Mainly fair"
"Nuwara-Eliya","19","12","90","65","Mainly fair"
"Ratnapura","32","21","95","60","Mainly fair"
"Trincomalee","29","25","85","70","A few showers"
"Mannar","30","24","85","70","Mainly fair"
