"Western/","","","","","","","","","","","","",""
"Nky;","","","","","","","","","","","","",""
"khfhzk/","","","","","","","","","","","","",""
"බස්නාහිර 
කළුතර","","","","","","","","","","","","","One fisherman who"
"පලාත
11
fSj;Jiw","Beruwala
Strong Wind","2018.06.07
1","","1","","","","","","","","","went for fishing are"
"Kalutara","","","","","","","","","","","","","death 07/06/2018"
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","1","0","1","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","1933","7259","1","0","0","1","1931","5","0","2","2","8"
"","Galgamuwa","516","1849","","","","","","","","","",""
"","Drought
Ambanpola","2018
1687","5243","","","","","","","","","",""
"","Giribawa","2523","7063","","","","","","","","","",""
"","Maaspotha","2018.06.09/11
126","380","","","","5","121","","","","",""
"","Udubaddawa","2018.06.10
103","377","","1","","","103","23","1","","",""
"","Wariyapola","2018.06.11
108","383","","","","4","104","","","","",""
"","Ganewattha","2018.06.11
6","18","","","","","6","","","","",""
"","Alauwa","2018.06.11
14","47","","","","1","13","","","","",""
"කුරුණෑගල","","","","","","","","","","","","",""
"","Kobaigane","3","15","","","","","3","","","","",""
"12
FUdhfy;","","","","","","","","","","","","",""
"","Rasnayakapura","2","9","","","","","2","","","","",""
"Kurunegala","","2018.06.10","","","","","","","","","","",""
"","දැඩි සුලග/fLk;","","","","","","","","","","","",""
"","Nikaweratiya","1","4","","","","","1","","","","",""
"","fhw;W/High Wind","","","","","","","","","","","",""
"","Paduwasnuwara west","3","12","","","","","3","2","","","",""
"","Ibbagamuwa","2018.06.09
4","15","","","","","4","","","","",""
"වයඹ","Wirambugedara","2018.06.05
1","1","","","","","1","","","","",""
"පලාත/tlNk","","","","","","","","","","","","",""
"","Kurunagala","2018.06.09
4","16","","","","","4","","","","",""
"y;","","","","","","","","","","","","",""
"","Narammala","2018.06.10
1","2","","","","","1","","","","",""
"khfhzk;/","","","","","","","","","","","","",""
"North","Panduwasnuwara - East","2018.06.06
1","1","","","","","1","","","","",""
"Western/","Bamunakotuwa","2018.06.11
3","11","","","","","3","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","5106","15446","0","1","0","10","370","25","1","0","0","0"
"","Mahawewa","2018.06.09/13
4","17","","","","","4","","","","",""
"","Arachchikattuwa","9","26","","","","","9","","","","",""
"","Pallama","7","31","","","","","3","4","","","",""
"පුත්තලම","Karuwalagaswewa
දැඩි සුලග/fLk;","1","6","","","","","1","","","","",""
"13","","2018.06.09","","","","","","","","","","",""
"","Gj;jsk; Puttalam
fhw;W/High Wind
Puttalam","3","10","","","","","3","","","","",""
"","MahaKumbukkadawala","9","25","","","","","9","","","","",""
"","","20","64","","","","","18","","","","",""
"","Anamaduwa","","","","","","","","","","","",""
"","","2018.06.11","","","","","","","1","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","53","179","0","0","0","0","47","5","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","5159","15625","0","1","0","10","417","30","1","0","0","0"
"උතුරුමැද 
නපොනලොන්නරුව","","","","","","","","","","","","",""
"","","","","","","","","","","","","","207 - Manampitiya GN"
"14
පලාත/tlkj;
nghyd;dWit","Dimbulagala
Drought","2018.06.01
30","120","","","","","","","","","",""
"","","","","","","","","","","","","","Divition"
"jpa 
Polonnaruwa","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","30","120","0","0","0","0","0","0","0","0","0","0"
"North","","","","","","","","","","","","",""
"Central/","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","30","120","0","0","0","0","0","0","0","0","0","0"
"","Bope Poddala","5","16","","","","","5","","","","",""
"","Karandeniya","5","13","","","","","5","","","","",""
"","Elpitiya","4","22","","","","","4","","","","",""
"","Thawalama","1","4","","","","","1","","","","",""
"","Balapitiya","2","5","","","","","2","","","","",""
"","දැඩි සුලග සහ දැඩි","","","","","","","","","","","",""
"","Ambalangoda","5","18","","","","","4","","","","",""
"","වර්ෂාව/fLk;","","","","","","","","","","","",""
"දකුනු","Niyagama
kioAk;","3","11","","","","1","3","1","","","",""
"ගාල්ල","","","","","","","","","","","","",""
"15","","2018.06.07","","","","","","","","","","",""
"පලාත/njd;","fhw;Wk;/Heavy","","","","","","","","","","","",""
"","fhyp      Galle
Kadawath sathara","23","78","","","","","23","2","","","",""
"khfhzk;/","Rain and High","","","","","","","","","","","",""
"Southern","Gonupinuwala","6","21","","","","","5","","","","",""
"","Wind","","","","","","","","","","","",""
"","Hikkaduwa","48","52","","2","","","48","","","","",""
"","Nagoda","25","96","","","","","25","1","","","",""
"","Baddegama","7","24","","","","","7","","","","",""
"","Imaduwa","11","38","","","","","11","","","","",""
"","Akmimana","7","40","","","","","7","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","152","438","0","2","0","1","150","4","0","0","0","0"
