"","Weather Forecast for Main Cities","","","Date :","9-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","21","95","60","Mainly fair"
"Batticaloa","30","24","95","70","Mainly fair"
"Colombo","34","23","80","50","Mainly fair"
"Galle","31","24","90","55","Mainly fair"
"Jaffna","31","20","95","65","Mainly fair"
"Kandy","31","19","95","60","Mainly fair"
"Nuwara-Eliya","20","8","85","50","Mainly fair"
"Ratnapura","35","21","95","45","Mainly fair"
"Trincomalee","29","24","90","65","Mainly fair"
"Mannar","31","25","85","65","Mainly fair"
