"","Weather Forecast for Main Cities","","","Date :","3-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","29","23","90","75","Mainly fair"
"Batticaloa","29","25","95","75","Mainly fair"
"Colombo","30","25","95","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","33","25","95","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","30","24","90","65","Mainly fair"
"Kandy","26","21","95","80","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","17","14","95","85","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","32","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","25","90","75","Mainly fair"
"Mannar","29","26","85","75","Mainly fair"
