"දිස්ත්‍රික්කය","","","","","","","","","හානි","","நிறுவனங்களின்","","","",""
"","","","commenced","","","","Injured","Missing","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","","egHfs;"
"","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","","","","","","","FLk;gq;f",""
"","மாவட்டம் District","","","","","","People","People","KOik","","சேதங்கள்; Small,","","","",""
"","","","","Families","People","","","","","Partially","","Damages to","f   No.","s;","Persons"
"","Division","","","","","","","","Fully","","","","","",""
"","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","","","2023.10.14","134","495","","","","","","","","1","47","127 Kotabakma Tea factory"
"","","","2023.10.25","12","46","","","","","","","","1","11","39 Dambethenna dalu"
"","","","","","","","","","","","","","","","kirana sthanaya"
"","Haldumulla","Landslide Risk","","","","","","","","","","","","",""
"","","","2023.10.14","28","80","","","","","","","","1","15","60 Mahakanda punagala"
"","","","","","","","","","","","","","","","old factory"
"","","","2023.10.25","71","242","","","","3","37","2","","1","28","89 Punagala old tea factory"
"","","Cutting Faliure /","","","","","","","","","","","","",""
"","","","2023.10.14","3","7","","","","","3","","","1","3","7 Udaperuwa Muslim"
"","","Heavy Rain / Wind","","","","","","","","","","","","","Mosque"
"","Bandarawela","","","","","","","","","","","","","",""
"","","Heavy Rain","2024.01.03","5","19","","","","","5","","","","",""
"","","Landslide Risk","2023.10.22","","","","","","","","","","1","17","81 Kalban tamil school"
"","Haputhale","","","51","195","","","","","","","","","",""
"","","Landslide Risk","2023.11.20","","","","","","","","","","1","7","26 Glanor Tamil School"
"","","Landslide Risk due to","","","","","","","","","","","","",""
"","Ella","","2023.11.23","2","7","","","","","2","","","1","2","7 Karandagolle temple"
"","","Heavy Rain","","","","","","","","","","","","",""
"බදුල්ල","","","2023.12.30","67","194","","","","","","","","1","23","58 1. 3 Tamil collage"
"1","gJs;is","Landslide Risk","","","","","","","","","","","","",""
"ඌව","","","2023.12.31","7","34","","","","","","","","1","7","34 2. Tholabowatta jaynthi"
"Badulla","","","","","","","","","","","","","","","collage"
"Cth khfhzk;","","","","","","","","","","","","","","",""
"","Lunugala","","2023.12.30","51","156","","","","","","","","1","51","156 Galulla Tamil collage"
"Uva","","","","","","","","","","","","","","",""
"","","Landslide Risk","2023.12.30","25","75","","","","","","","","1","25","75 Uwakele Tamil collage"
"","","","2023.12.31","124","387","","","","","","","","1","101","319 Vigneshwara tamil"
"","","","","","","","","","","","","","","","collage"
"","Uva Paranagama","Heavy Rain","2024.01.02","3","11","","","","","3","","","","",""
"","Rideemaliyadda","Heavy Rain","2024.01.02","1","4","","","","","1","","","","",""
"","Hali Ela","Cutting Failure","2024.01.03","8","36","","","","","8","","","","",""
"","Badulla","Cutting Failure","2024.01.02","1","5","","","","","1","","","","",""
"","Soranathota","Heavy Rain","2024.01.03","5","14","","","","","5","","","","",""
"","","Cutting Failure","2024.01.02","5","17","","","","","5","","","","",""
"","Kandaketiya","","","","","","","","","","","","","",""
"","","Heavy Rain","2024.01.02","5","18","","","","","5","","","","",""
"","","Heavy Rain","2023.12.29","1","6","","","","","1","","","","",""
"","Passara","Heavy Rain","2023.12.30","3","15","","","","","3","","","","",""
"","","Heavy Rain","2023.12.31","3","10","","","","","3","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","580","1937","0","0","0","3","47","2","0","13","337","1078"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","580","1937","0","0","0","3","47","2","0","13","337","1078"
"","රත්නපුර","","","","","","","","","","","","","",""
"2
,uj;jpdGhp","Embilipitiya","Landslide Risk","2023.12.22","","","","","","","","","","1","6","29 Hingura Community"
"","","","","","","","","","","","","","","","Center"
"Rathnapura","","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","0","0","0","0","0","0","0","0","0","1","6","29"
"rg;ufKt","","","","","","","","","","","","","","",""
"කෑගල්ල","","","","","","","","","","","","","","",""
"Sabaragamuwa
3","Yatiyanthota","Lightning","2024.01.02","1","5","","","","","1","","","","",""
"","Nffhiy  Kegalle","","","","","","","","","","","","","",""
