"","","","nra.gp    DS Division","","","","","","","","KOik","sT","Kaw;rpfs;","","fl;likg;Gf;fs;","if","","",""
"","","","","","","s;","","","","g","","","","","","","","fs;",""
"","","District","","","","","People","","People","","","","","","","","","Persons",""
"","","","","","","","","","","","","Partiall","Small, Medium,","","Damages to","Safety","","",""
"","","","","","","","","","","People","Fully","","","","","","","",""
"","","","","","","Families","","","","","","","Enterprises","","","","","Families",""
"","","","","","","","","","","","","y","","","critical","Location","","",""
"","","","","","","","","","","","","","Damages","","Infastructure","","","",""
"","","","","","","","","","","","","","","","","s","","",""
"","","","Maritimepattu","Lightning","2018.05.19","3","15","","","","","","","","","","","",""
"","","මුලතිව්","","","","","","","","","","","","","","","","",""
"","","","Thunukkai","දැඩි සුලග","2018.05.20","8","22","","","","","","","","","","","",""
"","1","Ky;iyj;jPT","","","","","","","","","","","","","","","","",""
"","","","Puthukkudiyriuppu","fLk; fhw;W  High","2018.05.22","4","12","","","","","4","","","","","","",""
"","","Mulaitivu","","","","","","","","","","","","","","","","",""
"","","","Oddusuddan","Wind","2018.05.22","4","15","","","","1","3","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","19","64","0","0","0","1","7","","0","0","","0","0","0"
"","","වව්නියාව","Vavuniya North","","2018.05.19","8","48","","","","","8","","","","","","",""
"","2","tTdpah","","High Wind","","","","","","","","","","","","","","",""
"උතුරු","","Vavuniya","Vengalacheddikulam","","2018.05.29","2","5","","","","","1","","","","","","",""
"පලාත/tl","","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","10","53","0","0","0","0","9","","0","0","","0","0","0"
"khfhzk;/","","","","","","","","","","","","","","","","","","",""
"Northen/","","","PointPedro","Lightning","2018.05.22","1","8","","","","","1","","","","","","",""
"","","","Kayts","Flood","2018.05.23","1","4","","","","","1","","","","","","",""
"","","යාපනය","","","","","","","","","","","","","","","","",""
"","3","","Nallur","Lightning","2018.05.24","2","4","","","","","","","","","","","",""
"","","aho;g;ghzk;","","","","","","","","","","","","","","","","",""
"","","","Uduvil","Flood","2018.05.23","1","5","","","","1","","","","","","","",""
"","","Jaffna","","","","","","","","","","","","","","","","",""
"","","","Chavakachcheri","","2018.05.23","3","12","","","","","1","","","","","","",""
"","","","","Lightning","","","","","","","","","","","","","","",""
"","","","Maruthankerny","","2018.05.22","2","7","","2","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","10","40","0","2","0","1","3","","0","0","","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","39","157","0","2","0","2","19","","0","0","","0","0","0"
"","","","Ganga Ihala Korale","ඉවුරු කඩා වැටීම","2018.05.19/20/21","20","85","","2","","1","18","","","","","","",""
"","","","Udapalatha","kz;rhpT  Cutting","2018.05.17 & 21","41","176","","","","1","31","","","","","","",""
"","","","Pathadumbara","","","6","22","","","","","6","","","","","","",""
"","","","Udunuwara","","","13","49","","","","1","12","","","","","","",""
"","","","","දැඩි වර්ෂාව","","","","","","","","","","","","","","",""
"","","","Gaga wata korale","","","3","16","","","","","3","","","","","","",""
"","","","","fLk; kio Heavy","2018.05.21","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Safety Locations(ri"
"","","","","Rain","","","","","","","","","","","","","","",""
"","","","Pasbage","","","262","1180","","3","","2","33","","1","1","","1","9","Kavishwara Temple / 
45"
"","","","","","","","","","","","","","","","","","","","Nawlpitiy Old Town Hall"
"","","","Kundasale","Rock Fallen","2018.05.21","1","6","","","","","1","","","","","","",""
"","","","","ඉවුරු කඩා වැටීම","","","","","","","","","","","","","","",""
"","","","Thumpane","kz;rhpT  Cutting","2018.05.21","5","19","","","","1","3","","","","","","",""
"","","","","Failure","","","","","","","","","","","","","","",""
"මධ්‍යම","","නුවර","","","","","","","","","","","","","","","","",""
"","","","Harispattuwa","දැඩි වර්ෂාව","2018.05.21","3","10","","","","","3","","","","","","",""
"පලාත/","4","fz;b","","","","","","","","","","","","","","","","",""
"","","","","fLk; kio Heavy","","","","","","","","","","","","","","",""
"kj;jpa","","","Doluwa","","2018.05.21","1","4","","","","","1","","","","","","",""
"","","Kandy","","Rain","","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","","","","","",""
"","","","","Rock Fallen Risk","","9","48","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","","","","",""
"","","","Akurana","දැඩි වර්ෂාව","","","","","","","","","","","","","","",""
"","","","","","2018.05.21","","","","","","","","","","","","","",""
"","","","","fLk; kio Heavy","","2","6","","","","1","1","","","","","","",""
"","","","","Rain","","","","","","","","","","","","","","",""
"","","","Medadumbara","ඉවුරු කඩා වැටීම","","6","19","","","","","6","","","","","","",""
"","","","Hatharaliydda","kz;rhpT  Cutting","2018.05.21","22","98","","","","","22","","","","","","",""
"","","","","දැඩි වර්ෂාව","","","","","","","","","","","","","","",""
"","","","Poojapitiya","","2018.05.22","6","26","","","","","6","","","","","","",""
"","","","","fLk; kio Heavy","","","","","","","","","","","","","","",""
"","","","Pathahewanheta","Rain","2018.05.27","12","39","","1","","","12","","","","","","",""
"","","","Minipe","","2018.05.29","7","32","","1","","","7","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","419","1835","0","7","0","7","165","","1","1","","1","9","45"
