"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","12512","44652","6","3","0","80","887","255","98","15","284","973",""
"","","","","අකුණුගැසීම","","","","","","","","","","","","","","Two persons deid due"
"","","","Welikanda","","2018.05.21","2","6","2","","","","","","","","","",""
"","","","","kpd;dy;  Lightning","","","","","","","","","","","","","","to lightning"
"","","මපොමලොන්නරුව","","","2018.05.25","1","5","","","","1","","","","","","",""
"","","","Dimbulagala","","","","","","","","","","","","","","",""
"","19","nghyd;dWit","","","","","","","","","","","","","","","",""
"","","","","","","2","5","","","","","2","","","","","",""
"","","Polonnaruwa","","දැඩි සුලග","","","","","","","","","","","","","",""
"","","","Higurakgopda","fLk; fhw;W  High","","2","9","","","","","2","","","","","",""
"උතුරුමැද","","","","","2018.05.29","","","","","","","","","","","","",""
"","","","","Wind","","","","","","","","","","","","","",""
"පලාත/tlkj;","","","Medirigiriya","","","4","14","","","","","4","","","","","",""
"jpa","","","","","","","","","","","","","","","","","",""
"","","","Thamankaduwa","","","2","7","","","","","2","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","","","","",""
"North","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","13","46","2","0","0","1","10","0","0","0","0","0",""
"Central/","","","","","","","","","","","","","","","","","",""
"","","","","Drowning / දිමේ","","","","","","","","","","","","","","One person died due"
"","","","Kiran","","","","","1","","","","","","","","","",""
"","","","","ගිලීම්","","","","","","","","","","","","","","to Drowning"
"","","මඩකලපුව/kl;lf;f","","","","","","","","","","","","","","","",""
"","20","","","","2018.05.26","","","","","","","","","","","","",""
"","","sg;G/ Batticaloa","","ගං වතුර","","","","","","","","","","","","","",""
"","","","Eraurpattu","nts;sk;","","344","1216","","","","","","","","","","",""
"","","","","Flood","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","344","1216","1","0","0","0","0","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","357","1262","3","0","0","1","10","0","0","0","0","0",""
"","","ත්‍රීකුණාමලය","Thambalgamma","දැඩි වර්ෂාව","2018.05.23","1","4","","","","","1","","","","","",""
"නැමගනහිර","21","jp.kiy","","fLk; kio Heavy","","","","","","","","","","","","","",""
"","","","Muthur","","","1","3","","","","","","","","","","",""
"පලාත","","Trincomalee","","Rain","2018.05.25","","","","","","","","","","","","",""
"","","","Kinniya","","","288","1125","","","","","1","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","","",""
"Eastern","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","290","1132","0","0","0","0","2","0","0","0","0","0",""
