"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","දිනය :     2024-01-14",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","30","22","95","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","29","23","85","70","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","32","23","85","60","ප්‍රධාන වශයයන් වැසි රහිත"
"ගාල්ල","30","24","95","75","ප්‍රධාන වශයයන් වැසි රහිත"
"යාපනය","30","24","95","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","29","19","95","65","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","19","12","90","65","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","32","21","95","60","ප්‍රධාන වශයයන් වැසි රහිත"
"ත්‍රිකුණාමලය","29","25","85","70","වැසි ස්වල්පයක්"
"මන්නාරම","30","24","85","70","ප්‍රධාන වශයයන් වැසි රහිත"
