"","Weather Forecast for Main Cities","","","Date :","2024-09-18"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","90","50","Mainly fair"
"Batticaloa","36","25","80","40","Mainly fair"
"Colombo","31","28","80","70","Several spells of showers"
"Galle","29","27","85","75","Several spells of showers"
"Jaffna","33","28","85","60","Mainly fair"
"Kandy","29","22","90","65","Several spells of light showers"
"Nuwara-Eliya","19","14","95","80","Several spells of light showers"
"Ratnapura","33","24","95","70","Several spells of showers"
"Trincomalee","36","26","80","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","80","70","Mainly fair"
