"","Dehiovita","High Wind","2022.12.07-08","2","7","","","","","2"
"","","Lightning","2022.12.10","13","55","","","","","12"
"","","","2022.12.10","2","6","","","","","2"
"","Mawanella","Tree Fallen","","","","","","","",""
"","","","2022.12.12","1","2","","","","","1"
"කෑගල්ල","","High Wind","2022.12.11","1","3","","","","","1"
"Nffhiy     
9","","","","","","","","","",""
"Kegalle","Kegalle","Tree Fallen","2022.12.10","3","9","","","","","3"
"","Aranayake","Tree Fallen","2022.12.10","3","10","","","","","3"
"","Rambukkana","Tree Fallen","2022.12.10","1","6","","","","","1"
"","Warakapola","Tree Fallen","2022.12.10","3","13","","","","","3"
"","Galigamuwa","Tree Fallen","2022.12.11","3","14","","","","","3"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","32","125","0","0","0","0","31"
