"District","DS Division","","","Families","People","","People","g","","","","","","","","s; 
Persons",""
"","","","","","","","","","Fully","","Partiall","Small, Medium,","Damages to","","of Safety","",""
"","","","","","","","","People","","","","","","","","Families",""
"","","","","","","","","","","","y","Enterprises","critical","","Location","",""
"","","","","","","","","","","","","Damages","Infrastructure","","s","",""
"නුවරඑලිය","Nuwaraeliya","Fire","2020.08.11","35","125","","","","","24","","","","","1","35","125 Muththumari Amman Kovil"
"1
Etnuypah","","","","","","","","","","","","","","","","",""
"Nuwara Eliya","Abagamuwa","Cutting failure","2020.09.07","2","11","","","","","","1","","","","1","2","12 Layagams Hotel"
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","37","136","0","0","0","","24","1","0","","0","2","37","137"
"","Deltota","","2020.09.09/10","3","14","","1","","","","2","1","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk","Pathahewaheta","","2020.09.06","3","13","","","","","","3","","","","","",""
"නුවර","","","","","","","","","","","","","","","","",""
"Central","Pathadumbara","","2020.09.09","1","4","","","","","","1","","","","","",""
"2
fz;b","","High Wind","","","","","","","","","","","","","","",""
"","Harispattuwa","","2020.09.08","1","2","","","","","","1","","","","","",""
"Kandy","","","","","","","","","","","","","","","","",""
"","Pasbagekorale","","2020.09.10","1","3","","","","","","1","","","","","",""
"","Gangawatakorale","","2020.09.09","1","4","","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","10","40","0","1","0","","0","9","1","","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","47","176","0","1","0","","24","10","1","","0","2","37","137"
"","Welimada","Fire","2020.08.17","12","54","","","","","12","","","","","1","12","54 Alakola gala day care centre"
"","","","2020.09.08","12","44","","","","","","12","","","","","",""
"","Haldummulla","","","","","","","","","","","","","","","",""
"","","","","18","54","","","","","","18","","","","","",""
"","","","2020.09.06","","","","","","","","","","","","","",""
"","","","","7","30","","","","","","7","","","","","",""
"","Uwaparanagama","","","","","","","","","","","","","","","",""
"","","","2020.09.08","6","20","","","","","","","","","","","",""
"බදුල්ල","","","","","","","","","","","","","","","","",""
"3
gJs;is","Ella","","","1","3","","","","","","1","","","","","",""
"Badulla","Hali Ela","","2020.09.06","4","13","","","","","","4","","","","","",""
"","Kandaketiya","","","1","4","","","","","","1","","","","","",""
"","","High wind","2020.09.06","2","16","","","","","","2","","","","","",""
"","Passara","","2020.09.07","8","36","","","","","","8","","","","","",""
"","","","2020.09.08","14","39","","","","","","14","","","","","",""
"","","","2020.09.07","49","201","","1","","","","49","","","","","",""
"ඌව","Welimada","","","","","","","","","","","","","","","",""
"","","","2020.09.08","4","12","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","","",""
"","Soranatota","","2020.08.31","2","4","","","","","","2","","","","","",""
"Uva","","","","","","","","","","","","","","","","",""
"","Badulle","","2020.09.06","3","12","","","","","","3","","","","","",""
"","Lunugala","","2020.09.07","3","14","","","","","","3","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","146","556","0","1","0","","12","124","0","","0","1","12","54"
"","Thanamalvila","","2020.09.05","3","13","","","","","","3","","","","","",""
"","Wellawaya","","","2","9","","","","","","2","","","","","",""
"මමානරාගල","Medagama","","","4","18","","","","","","4","","","","","",""
"","","High wind","","","","","","","","","","","","","","",""
"4
nkhdwhfiy","Bibila","","2020.09.06","7","31","","","","","","7","","","","","",""
"Moneragala","Badalkumbura","","","4","17","","","","","","3","1","","","","",""
"","","","","3","13","","","","","","3","","","","","",""
"","Siyambalanduwa","","","","","","","","","","","","","","","",""
"","","Lightning","2020.09.05","1","4","","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","24","105","0","0","0","","0","23","1","","0","0","0","0"
