"","","","","","Page 2","","","","","","","","",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"7
Gomarankadawala
jp.kiy","Drowning","2020.02.19","","","4","","","","","","","","",""
"නැවගනහිර පලාත","","","","","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","",""
"fpof;F     Eastern","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","0","4","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","0","0","4","0","0","0","0","0","0","0","0","0"
"මාතර","","","","","","","","","","","","","",""
"8
Akuressa
දකුනු පලාත","Tree Fallen","2020.02.20","1","2","","2","","","1","","","","",""
"khj;jiw  Matara","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","",""
"Southern
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","2","0","2","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","2","0","2","0","0","1","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","54335","228491","4","2","0","9","7","0","0","3","15","75"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
