"කිලිගනාච්චිය","","","","","","","","","","","","",""
"Heavy Rain / High","","","","","","","","","","","","",""
"6
Karachchi
fpspnehr;rp","2022.03.18","20","61","","","","","18","","","","",""
"උතුරු පලාත","","","","","","","","","","","","",""
"Wind","","","","","","","","","","","","",""
"Killinochchi
tl khfhzk;","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
Northen ;","","20","61","0","0","0","0","18","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","20","61","0","0","0","0","18","0","0","0","0","0"
"Kekirawa","2022.03.23","4","10","","","","","4","2","","","",""
"අනුරාධ්‍පුර","","","","","","","","","","","","",""
"උතුරුමැද 
High Wind","","","","","","","","","","","","",""
"m.Guk; 
Kebithigollawa","2022.03.24","1","1","","","","","1","","","","",""
"පලාත/tlkj;jp
Anuradhapura","","","","","","","","","","","","",""
"Nuwaragama 
a khfhzk;/","2022.03.22","1","4","","","","","1","","","","",""
"North Central/","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","6","15","0","0","0","0","6","2","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","6","15","0","0","0","0","6","2","0","0","0","0"
"මුළු එකතුව/ nkhj;jf; $l;ly;/GRAND TOTAL","","86","318","0","0","0","5","78","9","1","1","5","21"
"","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
