"","Pathadumbara","","2019 ජූලි","350","1500","","","","","","","","","","",""
"","","Drought","","","","","","","","","","","","","",""
"","","","2019.07.03","70","210","","","","","","","","","","",""
"","Kundasale","","","","","","","","","","","","","","",""
"","","High Wind","2019.07.18","1","1","1","","","","","","","","","",""
"","","Drought","2019.07.09","1395","3719","","","","","","","","","","",""
"","Paathahewaheta","","","","","","","","","","","","","","",""
"","","High Wind","2019.07.18","4","15","","","","","","4","","","","",""
"","Medadumbara","","2019.05.28","694","2644","","","","","","","","","","",""
"","","Drought","","","","","","","","","","","","","",""
"","","","2019.06.17","57","187","","","","","","","","","","",""
"","Panwila","","","","","","","","","","","","","","",""
"","","High Wind","2019.07.18","1","6","","","","","","1","","","","",""
"","","Drought","2019.05.27","265","1162","","","","","","","","","","",""
"","Akurana","","2019.07.18","1","4","","","","","","1","","","","",""
"","","High Wind","","","","","","","","","","","","","",""
"","","","2019.07.19","2","8","","","","","","2","","","","",""
"","","Drought","2019.07.10","255","1000","","","","","","","","","","",""
"","Thumpane","","","","","","","","","","","","","","",""
"","","","2019.07.18","2","8","","","","","","2","","","","",""
"","","High Wind","","","","","","","","","","","","","",""
"නුලර","","","2019.07.19","1","4","","","","","","1","","","","",""
"","Delthota","","","","","","","","","","","","","","",""
"12
fz;b","","","2019.07.03","2061","8876","","","","","","","","","","",""
"","","Drought","","","","","","","","","","","","","",""
"Kandy","","","2019.06.20","308","1030","","","","","","","","","","",""
"","Ududumbara","","","","","","","","","","","","","","",""
"","","High Wind","2019.07.18","4","11","","","","","","4","","","","",""
"","","","2019.07.18","4","13","","","","","","4","","","","",""
"","Harispattuwa","High Wind","","","","","","","","","","","","","",""
"","","","2019.07.19","1","4","","","","","","1","","","","",""
"","","","2019.07.18","2","10","","","","","","2","","","","",""
"","","High Wind","2019.07.19","29","126","","","","","","29","","","","",""
"","Pasbagekoralaya","","","","","","","","","","","","","","",""
"","","","","2","9","","","","","","2","","","","",""
"","","","2019.07.20","","","","","","","","","","","","",""
"","","Heavy Rain","","1","4","","","","","","1","","","","",""
"","Minipe","High Wind","2019.07.18","78","291","","","","5","","73","","","","",""
"","Udapalatha","High Wind","2019.07.18","6","23","","","","","","4","","","","",""
"","Gagawatakoralaya","High Wind","2019.07.18","2","5","","","","","","2","","","","",""
"","Yatinuwara","High Wind","2019.07.18","1","1","","","","","","1","","","","",""
"","","","2019.07.18","6","24","","","","","","6","","","","",""
"","Udunuwara","High Wind","","","","","","","","","","","","","",""
"","","","2019.07.19","3","13","","","","","","3","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","5606","20908","1","0","0","5","143","","0","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","21094","75598","4","3","0","38","327","","11","0","9","65","264"
"","Hambantota","","","380","1490","","","","","","","","","","",""
"","Tissamaharama","","","1587","7045","","","","","","","","","","",""
"","Okewela","Drought","2019.04.08","82","369","","","","","","","","","","",""
"","Weeraketiya","","","50","220","","","","","","","","","","",""
"හම්බන්නතොට","Beliatta","","","50","192","","","","","","","","","","",""
"13
`k;ghe;Njhl;I","","Tree Fallen","2019.07.19","2","4","3","1","","","","1","","","","",""
"","Suriyawewa","","","","","","","","","","","","","","",""
"Hambantota","","","","1","3","","","","","","1","","","","",""
"","Tangalle","","","1","4","","","","","","1","","","","",""
"","Angunukolapelessa","High Wind","2019.07.19","1","3","","","","","","1","","","","",""
"","Katuwana","","","6","26","","","","1","","5","","","","",""
"","Walasmulla","","","43","127","","","","1","","37","","","","",""
"","දිස෇ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","2203","9483","3","1","0","2","","46","0","0","0","0","0"
"","","Drowning","2019.07.16","","","","","2","","","","","","","",""
"","Habaraduwa","","","","","","","","","","","","","","",""
"","","","","6","24","","","","","6","","","","","",""
"දකුනු ප඼෈ත","Baddegama","","","10","31","","","","","10","","1","","","",""
"njd; khfhzk;","Bope Poddala","","","3","11","","","","","3","","","","","",""
"Southern","","","","","","","","","","","","","","","",""
"","Imaduwa","","","2","5","","","","","2","","","","","",""
"","Thawalama","","","5","18","","","","","3","","2","","","",""
"","Hikkaduwa","","","2","6","","","","","2","","","","","",""
"ග෈ල්඼","","","","","","","","","","","","","","","",""
"14
fhyp","Kadawathasathara","","","11","42","","","","","10","","1","","","",""
"Galle","","High Wind","2019.07.18","","","","","","","","","","","","",""
"","Nagoda","","","3","12","","","","","3","","","","","",""
"","Ambalangoda","","","13","51","","","","","12","","1","","","",""
"","Balapitiya","","","10","36","","","","","10","","","","","",""
"","Niyagama","","","2","9","","","","","2","","","","","",""
"","Elpitiya","","","4","15","","","","","4","","","","","",""
"","Benthota","","","3","8","","","","","3","","","","","",""
"","Akmimana","","","7","41","","","","","7","","","","","",""
"","Yakkalamulla","","","3","8","","","","","1","","1","","","",""
