"Jaffna","","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","8118","25506","0","0","0","0","0","","","0","0","","0","0","0",""
"පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","8357","26238","0","0","0","0","0","","","0","0","","0","0","0",""
"අම්පොර","","","","","","","","","","","","","","","","","02 Persons have gone"
"නැනගනහිර පලොත","","","","","","","","","","","","","","","","",""
"mk;ghiw    
4
Addalachchenai
Boat Missing","2024.07.13","","","","","1","","","","","","","","","","","to sea for fishing"
"fpof;F","","","","","","","","","","","","","","","","","activities"
"Ampara","","","","","","","","","","","","","","","","",""
"Eastern","","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","0","0","0","0","1","0","0","","","0","0","","0","0","0",""
"","","","","","","","","","","","","","","","","","Drinking water is being"
"බදුල්ල","","","","","","","","","","","","","","","","",""
"5
Badulla
Drought","2024.07.29","164","656","","","","","","","","","","","","","","distributed for drought"
"ඌෙ                
gJs;is  Badulla","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","areas"
"Cth khfhzk;","","","","","","","","","","","","","","","","",""
"Uva","","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","164","656","0","0","0","0","0","","","0","0","","0","0","0",""
"පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","164","656","0","0","1","0","0","","","0","0","","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","8521","26894","0","0","1","0","0","","","0","0","","1","3","17",""
"","","","","","ආපදො කළමනොකරණ මධ්‍යස්ථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","","","",""
