"","","","","","","Page 3","","","","",""
"","","Eheliyagoda","Lightning","2020.11.15","4","10","","","","","4"
"","","Godakawela","Heavy Rain","2020.11.14-16","4","13","","","","","4"
"","","Weligepola","Heavy Rain","2020.11.16","2","7","","","","1","1"
"","","Opanayake","High wind","2020.11.16","5","22","","","","1","4"
"","රත්නපුර","","Rock Fallen","2020.11.13","1","4","","","","","1"
"","10
,uj;jpdGhp","","","","","","","","","",""
"ස්ත්‍බරෙමුව පලොත","Rathnapura","Kolonna","Cutting Faliure","2020.11.13","1","3","","","","","1"
"rg;ufKt","","","","","","","","","","",""
"Sabaragamuwa","","","High wind","2020.11.15","3","16","","","","","3"
"","","Pelmadulla","High wind","2020.11.11","2","6","","","","","2"
"","","Nivithigala","Lightning","2020.11.15","1","5","","","","","1"
"","","Kiriella","Heavy Rain","2020.11.16","2","6","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","25","92","0","0","0","2","21"
