"","","","","Page 3","","","","","","","","","",""
"ගපාගලාන්නරුව","","","","","","","","","","","","","",""
"උතුරුමැද පලාත 
11
Dimbulagala
nghyd;dWit","Elephant Attack","2019.11.30","","","1","","","","","","","","",""
"tlkj;jpa","","","","","","","","","","","","","",""
"Polonnaruwa","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","0","0","1","0","0","0","0","0","0","0","0","0"
"North Central","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","0","0","1","0","0","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","1609","5904","5","5","1","3","169","1","0","14","242","915"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
