"","Weather Forecast for Main Cities","","","Date :","2024-09-11"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","60","A few showers"
"Batticaloa","35","26","85","50","Showers or thundershowers after 2.00p.m"
"Colombo","30","24","90","75","Showers at times"
"Galle","29","26","90","75","Showers at times"
"Jaffna","32","28","85","70","A few showers"
"Kandy","29","23","90","75","Several spells of light showers"
"Nuwara-Eliya","18","14","95","85","Showers at times"
"Ratnapura","31","24","95","85","Showers at times"
"Trincomalee","35","26","85","50","Mainly fair"
"Mannar","31","28","85","75","Mainly fair"
