"","Weather Forecast for Main Cities","","","","8-Aug-2023"
"","Temperature (0C)","","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","85","45","Mainly fair"
"Batticaloa","34","26","90","65","Mainly fair"
"Colombo","30","26","85","75","A few showers"
"Galle","29","27","90","75","A few showers"
"Jaffna","33","27","80","60","Mainly fair"
"Kandy","30","22","90","60","A few showers"
"Nuwara-Eliya","22","12","95","65","A few showers"
"Ratnapura","32","24","90","60","Several spells of light showers"
"Trincomalee","36","25","85","45","Mainly fair"
"Mannar","32","26","90","70","Mainly fair"
"","ප්‍රධාන න ර ස්දහා කාෙගුණ අනාවැකිය","","","","2023-08-08"
"","උෂතණත්වය(ගස්. අංශ්‍ක)","","ස්ාගේක්ෂ ආර්ද්‍රතාවය(%)","",""
"න රය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","36","25","85","45","ප්‍රධාන වශවයන් වැසි රහිත"
"මඩකලපුව","34","26","90","65","ප්‍රධාන වශවයන් වැසි රහිත"
"වකාළඹ","30","26","85","75","වැසි ස්වල්පයක්"
"ගාල්ල","29","27","90","75","වැසි ස්වල්පයක්"
"යාපනය","33","27","80","60","ප්‍රධාන වශවයන් වැසි රහිත"
"මහනුවර","30","22","90","60","වැසි ස්වල්පයක්"
"නුවරඑළිය","22","12","95","65","වැසි ස්වල්පයක්"
"රත්නපුරය","32","24","90","60","සිහින් වැසි වාර කිහිපයක්"
"ිකුණාමලය","36","25","85","45","ප්‍රධාන වශවයන් වැසි රහිත"
"මන්නාරම","32","26","90","70","ප්‍රධාන වශවයන් වැසි රහිත"
"","பிரதான நகரங் களுக்கான வானிலை முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"அனுராதபுரம்","36","25","85","45","பிரதானமாக சீரான வானிலை"
"மட்டக்களப்பு","34","26","90","65","பிரதானமாக சீரான வானிலை"
"வகாழும் பு","30","26","85","75","சிறிதளவிை்  மலை பெய் யும்"
"காலி","29","27","90","75","சிறிதளவிை்  மலை பெய் யும்"
"யாழ் ப்பாணம்","33","27","80","60","பிரதானமாக சீரான வானிலை"
"கண் டி","30","22","90","60","சிறிதளவிை்  மலை பெய் யும்"
"நுவவரலியா","22","12","95","65","சிறிதளவிை்  மலை பெய் யும்"
"இரத்தினபுரி","32","24","90","60","அடிக்கடி சிறிதளவிை்  மலை பெய் யும்"
"திருககாணமலை","36","25","85","45","பிரதானமாக சீரான வானிலை"
"மன் னார்","32","26","90","70","பிரதானமாக சீரான வானிலை"
