"","மாவட்டம்  
gpuNjr nra.gp","","","","egHfs;","","","","","","","","","","FLk;gq;f","egHfs;"
"","","","","","","","","","KOik","sT","ன
்  சேதங் கள்","","fl;likg;Gf;fs;","f   No.","",""
"","District
DS Division","","","Families","People","","","g","","","","","","","s;","Persons"
"","","","","","","","People","","Fully","Partiall","","","Damages to","of Safety","",""
"","","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","","People","","","","","","","Families",""
"","","","","","","","","","","y","","","critical","Location","",""
"","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","Damages","","Infrastructure","s","",""
"","Wennappuwa","","2019.10.15","75","273","","","","","5","","1","","","",""
"","","Flash Flood","","","","","","","","","","","","","",""
"","Chillaw","","2019.11.18","250","1150","","","","","","","","","","",""
"","Mahawewa","","","56","264","","","","","","","","","","",""
"","පුත්තල","","","","","","","","","","","","","","",""
"","Mahakubukkadawala","Flash Flood","2019.11.18","1","4","","","","","1","","","","","",""
"වයඹ පලොත 
1
Gj;jsk;","","","","","","","","","","","","","","","",""
"tlNky;","Pallama","","","2","7","","","","","2","","","","","",""
"Puttalam","","","","","","","","","","","","","","","",""
"khfhzk;","Puttalama","Havy Rain","2019.11.11","2","4","","","","","2","","","","","",""
"North Western","Mundalama","Flash Flood","2019.11.20","162","508","","","","","","","","","","",""
"","Anamaduwa","High Wind","2019.11.22","1","4","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","549","2214","0","0","0","0","11","","1","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","549","2214","0","0","0","0","11","","1","0","0","0","0"
"ම ොනරොගල 
ඌව","","","","","","","","","","","","","","","",""
"2
Cth khfhzk;","Bibila
nkhdwhfiy","Land Slide Risk","2019.11.14-16","61","203","","","","","","","","","1","61","203"
"Uva","Moneragala","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","61","203","0","0","0","0","0","","0","0","1","61","203"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","61","203","0","0","0","0","0","","0","0","1","61","203"
"","Koralaipattu","High Wind","2019.11.22","11","38","1","","","","11","","2","","","",""
