"Kalutara","Tree Fallen","3","13","","","","","2"
"Ingiriya","Highwind","12","39","","","","","7"
"Dodangoda","Highwind","2","4","","","","","1"
"Mathugama
කළුතර","Highwind","4","14","","","","","4"
"5
fSj;Jiw       
Agalawaththa","2025.03.13 - 24
Highwind","2","6","","","","","2"
"Western","","","","","","","",""
"Kalutara","","","","","","","",""
"Nky; khfhzk; 
Horana","Heavy Rain","1","1","","","","","1"
"බසරනාහිර පලාත","","","","","","","",""
"Beruwala","Lightning","4","17","","","","","4"
"Palindanuwara","Highwind","5","11","","","","","5"
"Walallavita","Wind / Lightning","11","46","","","","","11"
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","44","151","0","0","0","0","37"
