"","","","","","","","","පූර්ණ හානි","","நிறுவனங்களின்","","","",""
"gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","Injured","Missing","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;"
"","","commenced","","","","","","KOik Fully","","","","","",""
"மாவட்டம் District","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons"
"Division","","","","","","People","People","","","","","","",""
"","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","Damages","","","",""
"","Tree Fallen","2025.03.22","2","11","","","","","2","","","","",""
"Kahawatta","","","","","","","","","","","","","",""
"","Fire","2025.03.23","1","5","","","","","1","","","","",""
"","Tree Fallen","2025.03.23","1","2","","","","","1","","","","",""
"Kalawana","","","","","","","","","","","","","",""
"","Lightning","2025.03.23","1","2","","","","","1","","","","",""
"Ayagama","Tree Fallen","2025.03.22","1","4","","","","","1","","","","",""
"","Tree Fallen","2025.03.24","6","23","","","","","6","","","","",""
"Nivithigala","","","","","","","","","","","","","",""
"රත්නපුර","Cutting Failure","2025.03.24","1","5","","","","","1","","","","",""
"1
,uj;jpdGhp","","","","","","","","","","","","","",""
"Kiriella
Rathnapura","Tree Fallen","2025.03.22","7","24","","","","","7","","","","",""
"","Lightning","2025.03.22","1","3","","","","","1","","","","",""
"Kuruwita","","","","","","","","","","","","","",""
"","Tree Fallen","2025.03.22","2","9","","","","","2","","","","",""
"Embilipitiya","Tree Fallen","2025.03.23","1","4","","","","","1","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","","","",""
"rg;ufKt 
Eheliyagoda","Tree Fallen","2025.03.22","44","163","","","","","29","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","",""
"","Lightning","2025.03.22","1","1","","","","","1","","","","",""
"Weligepola","","","","","","","","","","","","","",""
"","Tree Fallen","2025.03.22","1","4","","","","","1","","","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","70","260","0","0","0","0","55","0","0","0","0","0"
"","","2025.03.22","1","6","","","","","1","","","","",""
"Mawanella","Tree Fallen","","","","","","","","","","","","",""
"","","2025.03.25","2","8","","","","","2","","","","",""
"","Heavy Rain","2025.03.19","1","5","","","","","1","","","","",""
"කෑගල්ල","","","","","","","","","","","","","",""
"Rambukkana
Nffhiy       
2","Lightning","2025.03.18","1","5","","","","","1","","","","",""
"Kegalle","","","","","","","","","","","","","",""
"","Tree Fallen","2025.03.22","1","5","","","","","1","","","","",""
"Dehiovita","Tree Fallen","2025.03.21","1","2","","","","","1","","","","",""
"Kegalla","Tree Fallen","2025.03.22","3","12","","","","","3","","","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","10","43","0","0","0","0","10","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","80","303","0","0","0","0","65","0","0","0","0","0"
"හම්බන්තාට   
Weeraketiya","","2025.03.17","1","2","","","","","1","","","","",""
"3
`k;ghe;Njhl;il","Highwind","","","","","","","","","","","","",""
"Katuwana
Hambantota","","2025.03.18","1","7","","","","","1","","","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2","9","0","0","0","0","2","0","0","0","0","0"
"දකුණු පලාත","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","",""
"මාතර     khj;jiw","","","","","","","","","","","","","",""
"Southern
4
Matara","Fire","2025.03.24","","","","","","","","1","","","",""
"Matara","","","","","","","","","","","","","",""
