"","Weather Forecast for Main Cities","","","Date :","13-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","55","Mainly fair"
"Batticaloa","33","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","29","25","90","75","Showers at times"
"Galle","28","25","95","80","Showers at times"
"Jaffna","31","26","95","80","Mainly fair"
"Kandy","27","21","95","80","Showers at times"
"Nuwara-Eliya","16","14","95","85","Showers at times"
"Ratnapura","28","24","95","85","Showers at times"
"Trincomalee","32","26","85","55","Mainly fair"
"Mannar","31","27","90","75","Mainly fair"
