"","","Locations for Potential Risk"
"","නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ   fdjpahd mghaKs;s ,lq;fs;",""
"District","Level 1 (Yellow)","Level 2 (Amber)"
"","Neluwa and",""
"","Elpitiya",""
"Galle","D",""
"","ivisional Secretariat",""
"","Division(s) (DSD) and",""
"","surrounding areas.",""
"","Walasmulla",""
"Hambantota","D
ivisional Secretariat",""
"","Division(s) (DSD) and",""
"","surrounding areas.",""
"","Agalawatta and",""
"","","Ingiriya"
"","Walallawita",""
"Kalutara","D","D
ivisional Secretariat"
"","ivisional Secretariat",""
"","","Division(s) (DSD) and"
"","Division(s) (DSD) and",""
"","","surrounding areas."
"","surrounding areas.",""
"","","Pasbage Korale"
"Kandy","","D
ivisional Secretariat"
"","","Division(s) (DSD) and"
"","","surrounding areas."
"","Ruwanwella",""
